type,key,src_lat,src_long,dest_lat,dest_long,src,dest,order_hour,Load
Shipment,MotherHub_ABL-MotherHub_BLR-13,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,13,55
Shipment,MotherHub_ABL-MotherHub_BLR-14,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,14,55
Shipment,MotherHub_ABL-MotherHub_BLR-15,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,15,55
Shipment,MotherHub_ABL-MotherHub_BLR-16,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,16,56
Shipment,MotherHub_ABL-MotherHub_BLR-17,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,17,51
Shipment,MotherHub_ABL-MotherHub_BLR-18,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,18,55
Shipment,MotherHub_ABL-MotherHub_BLR-19,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,19,57
Shipment,MotherHub_ABL-MotherHub_BLR-20,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,20,65
Shipment,MotherHub_ABL-MotherHub_BLR-21,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,21,65
Shipment,MotherHub_ABL-MotherHub_BLR-22,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,22,67
Shipment,MotherHub_ABL-MotherHub_BLR-23,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,23,52
Shipment,MotherHub_ABL-MotherHub_BNO-0,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,0,30
Shipment,MotherHub_ABL-MotherHub_BNO-1,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,1,16
Shipment,MotherHub_ABL-MotherHub_BNO-2,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,2,8
