item,id,src_lat,src_long,dest_lat,des_long,source_name,destination_name,Load
Shipments,MotherHub_STV_MotherHub_PTI,21.088983,72.915352,28.307612,76.81791,MotherHub_STV,MotherHub_PTI,1327
Shipments,MotherHub_PTI_MotherHub_PUNE,28.307612,76.81791,18.607342,73.727015,MotherHub_PTI,MotherHub_PUNE,3374
Shipments,MotherHub_AMD_MotherHub_IXR,22.88998,72.594151,23.349885,85.342528,MotherHub_AMD,MotherHub_IXR,30
Shipments,Motherhub_JIG_MotherHub_KOL,12.783553,77.644351,22.693624,88.487686,Motherhub_JIG,MotherHub_KOL,31
Shipments,MotherHub_MED_MotherHub_IXR,17.580668,78.469767,23.349885,85.342528,MotherHub_MED,MotherHub_IXR,194
Shipments,MotherHub_PTI_MotherHub_RAI,28.307612,76.81791,21.271957,81.635654,MotherHub_PTI,MotherHub_RAI,713
Shipments,MotherHub_STV_MotherHub_AMD,21.088983,72.915352,22.88998,72.594151,MotherHub_STV,MotherHub_AMD,301
Shipments,MotherHub_PZH_MotherHub_BAM,13.15093,80.199126,28.54532,77.029136,MotherHub_PZH,MotherHub_BAM,443
Shipments,MotherHub_PZH_MotherHub_CHN,13.15093,80.199126,13.046088,80.069352,MotherHub_PZH,MotherHub_CHN,616
Shipments,Motherhub_JIG_MotherHub_BAM,12.783553,77.644351,28.54532,77.029136,Motherhub_JIG,MotherHub_BAM,39
Shipments,MotherHub_STV_MotherHub_GZB,21.088983,72.915352,28.681766,77.530593,MotherHub_STV,MotherHub_GZB,3
Shipments,MotherHub_MED_MotherHub_STV,17.580668,78.469767,21.088983,72.915352,MotherHub_MED,MotherHub_STV,131
Shipments,MotherHub_PZH_MotherHub_PUNE,13.15093,80.199126,18.607342,73.727015,MotherHub_PZH,MotherHub_PUNE,238
Shipments,MotherHub_DKN_MotherHub_KNG,22.740286,88.31672,13.063051,77.741323,MotherHub_DKN,MotherHub_KNG,28
Shipments,MotherHub_WTF_MotherHub_PAT,12.991207,77.808766,25.585908,85.182063,MotherHub_WTF,MotherHub_PAT,300
Shipments,MotherHub_WTF_MotherHub_GZB,12.991207,77.808766,28.681766,77.530593,MotherHub_WTF,MotherHub_GZB,1
Shipments,MotherHub_DEL_MotherHub_MED,28.54912,77.131226,17.580668,78.469767,MotherHub_DEL,MotherHub_MED,435
Shipments,MotherHub_PTD_MotherHub_BAM,28.300608,76.820188,28.54532,77.029136,MotherHub_PTD,MotherHub_BAM,562
Shipments,MotherHub_PTI_MotherHub_STV,28.307612,76.81791,21.088983,72.915352,MotherHub_PTI,MotherHub_STV,364
Shipments,MotherHub_BAM_MotherHub_IXR,28.54532,77.029136,23.349885,85.342528,MotherHub_BAM,MotherHub_IXR,0
Shipments,MotherHub_MED_MotherHub_RAI,17.580668,78.469767,21.271957,81.635654,MotherHub_MED,MotherHub_RAI,156
Shipments,MotherHub_IDR_MotherHub_GZB,22.768738,75.903691,28.681766,77.530593,MotherHub_IDR,MotherHub_GZB,0
Shipments,MotherHub_JAI_MotherHub_AMD,26.948758,75.762015,22.88998,72.594151,MotherHub_JAI,MotherHub_AMD,236
Shipments,MotherHub_PTD_MotherHub_BNO,28.300608,76.820188,28.54532,77.029136,MotherHub_PTD,MotherHub_BNO,3
