type,id,lat,long,vehicleType,capacity,fixedCost,variableCost,Src
truck,MotherHub_JAI_32FT_D,26.948758,75.762015,32FT_D,700,1800,36,MotherHub_JAI
truck,MotherHub_BAM_22FT_A,28.54532,77.029136,22FT_A,300,800,25,MotherHub_BAM
truck,MotherHub_BAM_22FT_B,28.54532,77.029136,22FT_B,300,800,25,MotherHub_BAM
truck,MotherHub_BAM_22FT_C,28.54532,77.029136,22FT_C,300,800,25,MotherHub_BAM
truck,MotherHub_BAM_22FT_D,28.54532,77.029136,22FT_D,300,800,25,MotherHub_BAM
truck,MotherHub_BAM_24FT_A,28.54532,77.029136,24FT_A,400,1000,30,MotherHub_BAM
truck,MotherHub_BAM_24FT_B,28.54532,77.029136,24FT_B,400,1000,30,MotherHub_BAM
truck,MotherHub_BAM_24FT_C,28.54532,77.029136,24FT_C,400,1000,30,MotherHub_BAM
truck,MotherHub_BAM_24FT_D,28.54532,77.029136,24FT_D,400,1000,30,MotherHub_BAM
truck,MotherHub_BAM_32FT_A,28.54532,77.029136,32FT_A,700,1800,36,MotherHub_BAM
truck,MotherHub_BAM_32FT_B,28.54532,77.029136,32FT_B,700,1800,36,MotherHub_BAM
truck,MotherHub_BAM_32FT_C,28.54532,77.029136,32FT_C,700,1800,36,MotherHub_BAM
truck,MotherHub_BAM_32FT_D,28.54532,77.029136,32FT_D,700,1800,36,MotherHub_BAM
truck,MotherHub_GZB_22FT_A,28.681766,77.530593,22FT_A,300,800,25,MotherHub_GZB
truck,MotherHub_GZB_22FT_B,28.681766,77.530593,22FT_B,300,800,25,MotherHub_GZB
truck,MotherHub_GZB_22FT_C,28.681766,77.530593,22FT_C,300,800,25,MotherHub_GZB
truck,MotherHub_GZB_22FT_D,28.681766,77.530593,22FT_D,300,800,25,MotherHub_GZB
truck,MotherHub_GZB_24FT_A,28.681766,77.530593,24FT_A,400,1000,30,MotherHub_GZB
truck,MotherHub_GZB_24FT_B,28.681766,77.530593,24FT_B,400,1000,30,MotherHub_GZB
truck,MotherHub_GZB_24FT_C,28.681766,77.530593,24FT_C,400,1000,30,MotherHub_GZB
truck,MotherHub_GZB_24FT_D,28.681766,77.530593,24FT_D,400,1000,30,MotherHub_GZB
truck,MotherHub_GZB_32FT_A,28.681766,77.530593,32FT_A,700,1800,36,MotherHub_GZB
truck,MotherHub_GZB_32FT_B,28.681766,77.530593,32FT_B,700,1800,36,MotherHub_GZB
truck,MotherHub_GZB_32FT_C,28.681766,77.530593,32FT_C,700,1800,36,MotherHub_GZB
truck,MotherHub_GZB_32FT_D,28.681766,77.530593,32FT_D,700,1800,36,MotherHub_GZB
truck,MotherHub_BNO_22FT_A,28.54532,77.029136,22FT_A,300,800,25,MotherHub_BNO
truck,MotherHub_BNO_22FT_B,28.54532,77.029136,22FT_B,300,800,25,MotherHub_BNO
truck,MotherHub_BNO_22FT_C,28.54532,77.029136,22FT_C,300,800,25,MotherHub_BNO
truck,MotherHub_BNO_22FT_D,28.54532,77.029136,22FT_D,300,800,25,MotherHub_BNO
truck,MotherHub_BNO_24FT_A,28.54532,77.029136,24FT_A,400,1000,30,MotherHub_BNO
truck,MotherHub_BNO_24FT_B,28.54532,77.029136,24FT_B,400,1000,30,MotherHub_BNO
truck,MotherHub_BNO_24FT_C,28.54532,77.029136,24FT_C,400,1000,30,MotherHub_BNO
truck,MotherHub_BNO_24FT_D,28.54532,77.029136,24FT_D,400,1000,30,MotherHub_BNO
truck,MotherHub_BNO_32FT_A,28.54532,77.029136,32FT_A,700,1800,36,MotherHub_BNO
truck,MotherHub_BNO_32FT_B,28.54532,77.029136,32FT_B,700,1800,36,MotherHub_BNO
truck,MotherHub_BNO_32FT_C,28.54532,77.029136,32FT_C,700,1800,36,MotherHub_BNO
truck,MotherHub_BNO_32FT_D,28.54532,77.029136,32FT_D,700,1800,36,MotherHub_BNO
truck,MotherHub_IXR_22FT_A,23.349885,85.342528,22FT_A,300,800,25,MotherHub_IXR
truck,MotherHub_IXR_22FT_B,23.349885,85.342528,22FT_B,300,800,25,MotherHub_IXR
truck,MotherHub_IXR_22FT_C,23.349885,85.342528,22FT_C,300,800,25,MotherHub_IXR
truck,MotherHub_IXR_22FT_D,23.349885,85.342528,22FT_D,300,800,25,MotherHub_IXR
truck,MotherHub_IXR_24FT_A,23.349885,85.342528,24FT_A,400,1000,30,MotherHub_IXR
