Type,key,National_connect_lat,National_connect_long,zonal_connect_lat,zonal_connect_long,National_connect,zonal_connect,Ready_time,Load
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-17.0505555555556,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,61382,66
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-3,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,10800,561
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-13.4841666666667,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,48543,266
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-17.0505555555556,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,61382,119
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-3,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,10800,2391
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-13.4841666666667,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,48543,1787
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-17.0505555555556,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,61382,581
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-3,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,10800,173
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-13.4841666666667,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,48543,229
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-17.0505555555556,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,61382,61
Shipment,MOTHERHUB_MED-MOTHERHUB_AMD-3,17.580519,78.469527,22.8978044,72.5902141,MOTHERHUB_MED,MOTHERHUB_AMD,10800,746
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL-3,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,10800,4645
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR-3,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,10800,8239
Shipment,MOTHERHUB_MED-MOTHERHUB_CHN-3,17.580519,78.469527,13.04591,80.067723,MOTHERHUB_MED,MOTHERHUB_CHN,10800,1577
Shipment,MOTHERHUB_MED-MOTHERHUB_JAI-3,17.580519,78.469527,26.948928,75.761927,MOTHERHUB_MED,MOTHERHUB_JAI,10800,781
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-3,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,10800,5181
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-3,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,10800,6419
Shipment,MOTHERHUB_MED-MOTHERHUB_STV-3,17.580519,78.469527,21.0895987,72.900005,MOTHERHUB_MED,MOTHERHUB_STV,10800,239
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-3,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,10800,4534
