+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985988503168E17                   | 
| noVehicles    | 36                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_GOA | 29109           | 29109           | 1781468         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_PTI | 29109           | 29109           | 1781468         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_BIL | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_MUM | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_STV | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_PUNE | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_AMD | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_JAI | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_ABL | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_PTI | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_BAM | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_LKO | 50345           | 50345           | 3081108         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_MUM | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_MUM | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_STV | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_IDR | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_AMD | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_MUM | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_ABL | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_PTI | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_BAM | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_LKO | 56666           | 56666           | 3467943         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_BIL | 58019           | 58019           | 3550775         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_BIL | 58019           | 58019           | 3550775         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_BIL | 58019           | 58019           | 3550775         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BIL-MOTHERHUB_BAM | 58019           | 58019           | 3550775         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BIL-MOTHERHUB_LKO | 58019           | 58019           | 3550775         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_STV | 70160           | 70160           | 4293779         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_STV | 70160           | 70160           | 4293779         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_STV | 70160           | 70160           | 4293779         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_STV | 70160           | 70160           | 4293779         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_STV-MOTHERHUB_LKO | 70160           | 70160           | 4293779         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_AMD | 82133           | 82133           | 5026524         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_AMD | 82133           | 82133           | 5026524         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_AMD | 82133           | 82133           | 5026524         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_AMD-MOTHERHUB_ABL | 82133           | 82133           | 5026524         |
| 3       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_AMD-MOTHERHUB_LKO | 82133           | 82133           | 5026524         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_IDR | 102108          | 102108          | 6249023         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_IDR | 102108          | 102108          | 6249023         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_JAI | 129402          | 129402          | 7919424         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_PTI | 140245          | 140245          | 8582979         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_GOA-MOTHERHUB_PTI | 140245          | 140245          | 8582979         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_PTI | 140245          | 140245          | 8582979         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BIL-MOTHERHUB_BAM | 142166          | 142166          | 8700562         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_BAM | 142166          | 142166          | 8700562         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_BAM | 142166          | 142166          | 8700562         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_AMD-MOTHERHUB_ABL | 154336          | 154336          | 9445344         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_ABL | 154336          | 154336          | 9445344         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_ABL | 154336          | 154336          | 9445344         |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_LKO | 187812          | 187812          | 11494077        |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_LKO | 187812          | 187812          | 11494077        |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BIL-MOTHERHUB_LKO | 187812          | 187812          | 11494077        |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_LKO | 187812          | 187812          | 11494077        |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_STV-MOTHERHUB_LKO | 187812          | 187812          | 11494077        |
| 3       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_AMD-MOTHERHUB_LKO | 187812          | 187812          | 11494077        |
