type,Concat,Lat Source,Long Source,Lat Dest ,Long Dest ,Source,Dest ,Ready Time,Load
Shipment,MotherHub_BLR-SapthagiriHub_TPT,12.9842798,77.8242648,11.0961,77.2664,MotherHub_BLR,SapthagiriHub_TPT,0,5339
Shipment,MotherHub_BLR-ShimogaHub_SMG,12.9842798,77.8242648,13.952498,75.557576,MotherHub_BLR,ShimogaHub_SMG,0,2581
Shipment,MotherHub_BLR-SivakasiHub_SVK,12.9842798,77.8242648,9.458347,77.79752,MotherHub_BLR,SivakasiHub_SVK,0,3584
Shipment,MotherHub_BLR-SurathkalHub_IXE,12.9842798,77.8242648,12.970753,74.804737,MotherHub_BLR,SurathkalHub_IXE,0,2927
Shipment,MotherHub_BLR-ThalasseryHub_THL,12.9842798,77.8242648,11.7707,75.5102,MotherHub_BLR,ThalasseryHub_THL,0,3177
Shipment,MotherHub_BLR-ThanjavurHub_TNJ,12.9842798,77.8242648,10.758659,79.126759,MotherHub_BLR,ThanjavurHub_TNJ,0,2452
Shipment,MotherHub_BLR-ThirunelveliHub_TVL,12.9842798,77.8242648,8.717743,77.7209,MotherHub_BLR,ThirunelveliHub_TVL,0,2878
Shipment,MotherHub_BLR-ThiruvallurHub_TRL,12.9842798,77.8242648,13.120694,79.9121426,MotherHub_BLR,ThiruvallurHub_TRL,0,3276
Shipment,MotherHub_BLR-TrichyHub_TRZ,12.9842798,77.8242648,10.823045,78.686371,MotherHub_BLR,TrichyHub_TRZ,0,7984
Shipment,MotherHub_BLR-TumkurHub_TKR,12.9842798,77.8242648,13.339168,77.113998,MotherHub_BLR,TumkurHub_TKR,0,3799
Shipment,MotherHub_BLR-TuticorinHub_TUT,12.9842798,77.8242648,8.801574,78.135564,MotherHub_BLR,TuticorinHub_TUT,0,2611
Shipment,MotherHub_BLR-VelloreHub_VLR,12.9842798,77.8242648,12.96798,79.1541415,MotherHub_BLR,VelloreHub_VLR,0,7689
Shipment,MotherHub_BLR-AvinashiRdHub_CJB,12.9842798,77.8242648,11.019186,76.978493,MotherHub_BLR,AvinashiRdHub_CJB,0,6342
Shipment,MotherHub_BLR-KovaipudurHub_KVP,12.9842798,77.8242648,11.0168,76.9558,MotherHub_BLR,KovaipudurHub_KVP,0,3969
Shipment,MotherHub_BLR-PeelameduHub_CJB,12.9842798,77.8242648,11.036762,77.029182,MotherHub_BLR,PeelameduHub_CJB,0,9069
Shipment,MotherHub_BLR-PNPalayamHub_CJB,12.9842798,77.8242648,11.159488,76.943677,MotherHub_BLR,PNPalayamHub_CJB,0,3236
Shipment,MotherHub_BLR-PollachiHub_CJB,12.9842798,77.8242648,10.683575,77.010342,MotherHub_BLR,PollachiHub_CJB,0,2590
Shipment,MotherHub_BLR-TirupurHub_TPR,12.9842798,77.8242648,11.092483,77.347287,MotherHub_BLR,TirupurHub_TPR,0,7579
