Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time,Load,Del_time,flag,Ready_time_10,del_time,Ready_time_11,dist,time,Ready_time_10,del_time_10,Ready_time_11,del_time_11,Ready_time_12,del_time_12,Ready_time_1,del_time_1,Ready_time_2,del_time_2,Ready_time_3,del_time_3,del_time_day_7
Shipment,MotherHub_BNL-MotherHub_JAI-1,28.3076,76.88272,26.94893,75.76193,MotherHub_BNL,MotherHub_JAI,79200,5500,118800,1,79200,126000,82800,204,5.1,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-MotherHub_LKO-0,28.3076,76.88272,26.75591,80.91094,MotherHub_BNL,MotherHub_LKO,79200,5500,122400,1,79200,126000,82800,528,13.2,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-MotherHub_LKO-1,28.3076,76.88272,26.75591,80.91094,MotherHub_BNL,MotherHub_LKO,79200,5500,122400,1,79200,126000,82800,528,13.2,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-MotherHub_LKO-2,28.3076,76.88272,26.75591,80.91094,MotherHub_BNL,MotherHub_LKO,79200,715,122400,1,79200,126000,82800,528,13.2,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-MuktsarHub_MKT,28.3076,76.88272,30.46429,74.51236,MotherHub_BNL,MuktsarHub_MKT,79200,154,118800,1,79200,126000,82800,391,9.775,79200,126000,82800,126000,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-MuzaffarnagarHub_MFN,28.3076,76.88272,29.47268,77.70851,MotherHub_BNL,MuzaffarnagarHub_MFN,79200,286,118800,1,79200,126000,82800,185,4.625,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-NarnaulHub_NNL,28.3076,76.88272,28.06932,76.10676,MotherHub_BNL,NarnaulHub_NNL,79200,419,118800,1,79200,126000,82800,96.8,2.42,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-PalwalHub_PLW,28.3076,76.88272,28.15135,77.33418,MotherHub_BNL,PalwalHub_PLW,79200,251,118800,1,79200,126000,82800,63.3,1.5825,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-PanchkulaHub_PKL,28.3076,76.88272,30.68354,76.83065,MotherHub_BNL,PanchkulaHub_PKL,79200,931,118800,1,79200,126000,82800,301,7.525,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-PanipatHub_PPT,28.3076,76.88272,29.41169,76.97199,MotherHub_BNL,PanipatHub_PPT,79200,760,118800,1,79200,126000,82800,147,3.675,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-PathankotHub_PHT,28.3076,76.88272,32.26081,75.62925,MotherHub_BNL,PathankotHub_PHT,79200,250,126000,1,79200,126000,82800,542,13.55,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-PatialaHub_PTA,28.3076,76.88272,30.33504,76.40621,MotherHub_BNL,PatialaHub_PTA,79200,778,118800,1,79200,126000,82800,277,6.925,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,212400,16128000
Shipment,MotherHub_BNL-PhagwaraHub_PGR,28.3076,76.88272,31.20092,75.77628,MotherHub_BNL,PhagwaraHub_PGR,79200,245,118800,1,79200,126000,82800,409,10.225,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-RewariHub_RWR,28.3076,76.88272,28.19758,76.6242,MotherHub_BNL,RewariHub_RWR,79200,457,118800,1,79200,126000,82800,36.5,0.9125,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-RohtakHub_ROH,28.3076,76.88272,28.88296,76.61991,MotherHub_BNL,RohtakHub_ROH,79200,789,118800,1,79200,126000,82800,84.4,2.11,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-RoorkeeHub_HRD,28.3076,76.88272,29.8543,77.888,MotherHub_BNL,RoorkeeHub_HRD,79200,221,118800,1,79200,126000,82800,237,5.925,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-RudrapurHub_RDP,28.3076,76.88272,28.98751,79.41412,MotherHub_BNL,RudrapurHub_RDP,79200,429,118800,1,79200,126000,82800,298,7.45,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-RupnagarHub_RUP,28.3076,76.88272,30.95257,76.50697,MotherHub_BNL,RupnagarHub_RUP,79200,267,118800,1,79200,126000,82800,338,8.45,79200,126000,82800,126000,86400,126000,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-SaharanpurHub_SHP,28.3076,76.88272,29.95604,77.54524,MotherHub_BNL,SaharanpurHub_SHP,79200,354,118800,1,79200,126000,82800,238,5.95,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-SangrurHub_SNR,28.3076,76.88272,30.24814,75.83418,MotherHub_BNL,SangrurHub_SNR,79200,211,118800,1,79200,126000,82800,272,6.8,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,212400,16128000
Shipment,MotherHub_BNL-SirsaHub_SRS,28.3076,76.88272,29.53637,75.01584,MotherHub_BNL,SirsaHub_SRS,79200,312,118800,1,79200,126000,82800,273,6.825,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,212400,16128000
Shipment,MotherHub_BNL-SonepatHub_SOP,28.3076,76.88272,28.99955,77.03274,MotherHub_BNL,SonepatHub_SOP,79200,540,118800,1,79200,126000,82800,104,2.6,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-YamunaNagarHub_YNR,28.3076,76.88272,30.12658,77.29488,MotherHub_BNL,YamunaNagarHub_YNR,79200,347,118800,1,79200,126000,82800,245,6.125,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,212400,16128000
