Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load
Shipment,MOTHERHUB_MED-ELURUHUB_ELU,17.580519,78.469527,16.7107,81.0952,MOTHERHUB_MED,ELURUHUB_ELU,72000,798
Shipment,MOTHERHUB_MED-ONGOLEHUB_ONG,17.580519,78.469527,15.5075126,80.0558088,MOTHERHUB_MED,ONGOLEHUB_ONG,72000,604
Shipment,MOTHERHUB_MED-NALGONDAHUB_NGD,17.580519,78.469527,17.038222,79.261985,MOTHERHUB_MED,NALGONDAHUB_NGD,72000,328
Shipment,MOTHERHUB_BAM-MORADABADHUB_MRD,28.545321,77.02914,28.830203,78.738543,MOTHERHUB_BAM,MORADABADHUB_MRD,72000,676
Shipment,MOTHERHUB_MED-TENALIHUB_TNL,17.580519,78.469527,16.2395313,80.6493396,MOTHERHUB_MED,TENALIHUB_TNL,72000,366
Shipment,MOTHERHUB_MED-SITARAMNAGARHUB_GTR,17.580519,78.469527,16.306157,80.458347,MOTHERHUB_MED,SITARAMNAGARHUB_GTR,72000,2192
Shipment,MOTHERHUB_BAM-MUZAFFARNAGARHUB_MFN,28.545321,77.02914,29.4726817,77.7085091,MOTHERHUB_BAM,MUZAFFARNAGARHUB_MFN,72000,212
Shipment,MOTHERHUB_BAM-NARNAULHUB_NNL,28.545321,77.02914,28.069324,76.106757,MOTHERHUB_BAM,NARNAULHUB_NNL,72000,300
Shipment,MOTHERHUB_MED-KURNOOLHUB_KRN,17.580519,78.469527,15.8286901,78.0358143,MOTHERHUB_MED,KURNOOLHUB_KRN,72000,830
Shipment,MOTHERHUB_MED-NIZAMABADHUB_NZB,17.580519,78.469527,18.65781,78.107749,MOTHERHUB_MED,NIZAMABADHUB_NZB,72000,510
Shipment,MOTHERHUB_MED-KARIMNAGARHUB_KMN,17.580519,78.469527,18.419913,79.136985,MOTHERHUB_MED,KARIMNAGARHUB_KMN,72000,1424
Shipment,MOTHERHUB_BAM-PHAGWARAHUB_PGR,28.545321,77.02914,31.200919,75.776276,MOTHERHUB_BAM,PHAGWARAHUB_PGR,72000,302
Shipment,MOTHERHUB_MED-KHAMMAMHUB_KHM,17.580519,78.469527,17.252343,80.149662,MOTHERHUB_MED,KHAMMAMHUB_KHM,72000,932
Shipment,MOTHERHUB_MED-HANAMKONDAHUB_WGL,17.580519,78.469527,17.9928272,79.5552427,MOTHERHUB_MED,HANAMKONDAHUB_WGL,72000,1294
Shipment,MOTHERHUB_MED-VIZIANAGARAMHUB_VZM,17.580519,78.469527,18.1066576,83.3955506,MOTHERHUB_MED,VIZIANAGARAMHUB_VZM,72000,363
Shipment,MOTHERHUB_MED-VISAKHAVALLEYHUB_VTZ,17.580519,78.469527,17.6868159,83.2184815,MOTHERHUB_MED,VISAKHAVALLEYHUB_VTZ,72000,1306
Shipment,MOTHERHUB_BAM-RUDRAPURHUB_RDP,28.545321,77.02914,28.987508,79.414121,MOTHERHUB_BAM,RUDRAPURHUB_RDP,72000,366
Shipment,MOTHERHUB_BAM-SAHARANPURHUB_SHP,28.545321,77.02914,29.956038,77.545236,MOTHERHUB_BAM,SAHARANPURHUB_SHP,72000,301
Shipment,MOTHERHUB_MED-VISAKHAPATNAMHUB_VTZ,17.580519,78.469527,17.6868159,83.2184815,MOTHERHUB_MED,VISAKHAPATNAMHUB_VTZ,72000,1747
Shipment,MOTHERHUB_BAM-SIRSAHUB_SRS,28.545321,77.02914,29.536369,75.015843,MOTHERHUB_BAM,SIRSAHUB_SRS,72000,210
Shipment,MOTHERHUB_MED-GAJUWAKAHUB_VTZ,17.580519,78.469527,17.6840054,83.1933079,MOTHERHUB_MED,GAJUWAKAHUB_VTZ,72000,1420
Shipment,MOTHERHUB_MED-SRIKALAHASTIHUB_SKH,17.580519,78.469527,13.752,79.7037,MOTHERHUB_MED,SRIKALAHASTIHUB_SKH,72000,222
Shipment,MOTHERHUB_MED-KAKINADAHUB_KKD,17.580519,78.469527,16.9890648,82.2474648,MOTHERHUB_MED,KAKINADAHUB_KKD,72000,1438
Shipment,MOTHERHUB_LKO-SIGRAHUB_VNS,26.755912,80.910939,25.303391,82.981454,MOTHERHUB_LKO,SIGRAHUB_VNS,72000,2304
Shipment,MOTHERHUB_BAM-YAMUNANAGARHUB_YNR,28.545321,77.02914,30.126579,77.294879,MOTHERHUB_BAM,YAMUNANAGARHUB_YNR,72000,307
Shipment,MOTHERHUB_LKO-ORDERLYBAZARHUB_VNS,26.755912,80.910939,25.352635,82.983728,MOTHERHUB_LKO,ORDERLYBAZARHUB_VNS,72000,1644
Shipment,MOTHERHUB_BAM-SRINAGARHUB_SRG,28.545321,77.02914,34.057386,74.824942,MOTHERHUB_BAM,SRINAGARHUB_SRG,72000,231
Shipment,MOTHERHUB_LKO-MEDICALROADHUB_GOP,26.755912,80.910939,26.808722,83.3955019,MOTHERHUB_LKO,MEDICALROADHUB_GOP,72000,1822
Shipment,MOTHERHUB_LKO-AZAMGARHHUB_AZM,26.755912,80.910939,26.073757,83.170997,MOTHERHUB_LKO,AZAMGARHHUB_AZM,72000,386
