Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,ready_time,Total
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-12.8069444444444,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,46105,166
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-14.5588888888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,52412,42
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-15.1805555555556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,54650,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-16.2219444444444,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,58399,625
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-23.1341666666667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,83283,23
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-3,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,10800,7358
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-3.85916666666667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,13893,29
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-4.1438888888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,14918,41
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-4.49138888888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,16169,1295
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-4.98333333333333,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,17940,406
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-7.91472222222222,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,28493,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-8.18805555555555,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,29477,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-8.58805555555556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,30917,169
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-8.8575,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,31887,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-9.13111111111111,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,32872,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-9.39666666666666,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,33828,14
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-0.380277777777778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,1369,299
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-11.8475,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,42651,168
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-12.1666666666667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,43800,35
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-12.4361111111111,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,44770,12
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-12.8069444444444,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,46105,70
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-14.5588888888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,52412,24
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-15.1805555555556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,54650,43
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-16.2219444444444,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,58399,334
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-23.1341666666667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,83283,13
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-3,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,10800,2890
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-3.85916666666667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,13893,17
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-4.1438888888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,14918,21
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-4.49138888888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,16169,566
