Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,Delivery_Start_time,Delivery_end_time
Shipment,MotherHub_BIL_MotherHub_AMD,19.2374987,73.0362352,22.8978044,72.5902141,MotherHub_BIL,MotherHub_AMD,97200,7690,97200,345600
Shipment,MotherHub_BNL_MotherHub_CHN,28.544869,77.128134,13.04591,80.067723,MotherHub_BNL,MotherHub_CHN,97200,7600,97200,345600
Shipment,MotherHub_BNL_MotherHub_RAI,28.544869,77.128134,22.056106,82.171855,MotherHub_BNL,MotherHub_RAI,97200,7427,97200,345600
Shipment,MotherHub_BLR_MotherHub_MED,12.983737,77.824387,17.580519,78.469527,MotherHub_BLR,MotherHub_MED,97200,5397,97200,345600
Shipment,MotherHub_BLR_MotherHub_CHN,12.983737,77.824387,13.04591,80.067723,MotherHub_BLR,MotherHub_CHN,97200,5372,97200,345600
Shipment,MotherHub_BNL_MotherHub_Goa,28.544869,77.128134,15.3682554,73.946764,MotherHub_BNL,MotherHub_Goa,97200,5342,97200,345600
Shipment,MotherHub_BIL_MotherHub_BNL,19.2374987,73.0362352,28.544869,77.128134,MotherHub_BIL,MotherHub_BNL,97200,5028,97200,345600
Shipment,MotherHub_BIL_MotherHub_BLR,19.2374987,73.0362352,12.983737,77.824387,MotherHub_BIL,MotherHub_BLR,97200,4415,97200,345600
Shipment,MotherHub_KOL_MotherHub_PAT,22.708183,88.28565,25.587197,85.185842,MotherHub_KOL,MotherHub_PAT,97200,4206,97200,345600
Shipment,MotherHub_BIL_MotherHub_MED,19.2374987,73.0362352,17.580519,78.469527,MotherHub_BIL,MotherHub_MED,97200,4195,97200,345600
Shipment,MotherHub_BIL_MotherHub_KOL,19.2374987,73.0362352,22.708183,88.28565,MotherHub_BIL,MotherHub_KOL,97200,4063,97200,345600
Shipment,MotherHub_BLR_MotherHub_BIL,12.983737,77.824387,19.2374987,73.0362352,MotherHub_BLR,MotherHub_BIL,97200,3996,97200,345600
Shipment,MotherHub_BLR_MotherHub_BNL,12.983737,77.824387,28.544869,77.128134,MotherHub_BLR,MotherHub_BNL,97200,3924,97200,345600
Shipment,MotherHub_MED_MotherHub_BLR,17.580519,78.469527,12.983737,77.824387,MotherHub_MED,MotherHub_BLR,97200,3915,97200,345600
Shipment,MotherHub_BIL_KOCHIHUB_COK,19.2374987,73.0362352,9.984803,76.29502,MotherHub_BIL,KOCHIHUB_COK,97200,3086,97200,345600
Shipment,MotherHub_BIL_MotherHub_Goa,19.2374987,73.0362352,15.3682554,73.946764,MotherHub_BIL,MotherHub_Goa,97200,2997,97200,345600
Shipment,MotherHub_MED_KOCHIHUB_COK,17.580519,78.469527,9.984803,76.29502,MotherHub_MED,KOCHIHUB_COK,97200,2855,97200,345600
Shipment,MotherHub_BIL_MotherHub_RAI,19.2374987,73.0362352,22.056106,82.171855,MotherHub_BIL,MotherHub_RAI,97200,2825,97200,345600
Shipment,MotherHub_KOL_MotherHub_GAU,22.708183,88.28565,26.043197,91.705232,MotherHub_KOL,MotherHub_GAU,97200,2803,97200,345600
Shipment,MotherHub_BLR_MotherHub_KOL,12.983737,77.824387,22.708183,88.28565,MotherHub_BLR,MotherHub_KOL,97200,2698,97200,345600
Shipment,MotherHub_BLR_MotherHub_Goa,12.983737,77.824387,15.3682554,73.946764,MotherHub_BLR,MotherHub_Goa,97200,2450,97200,345600
Shipment,MotherHub_MED_MotherHub_BIL,17.580519,78.469527,19.2374987,73.0362352,MotherHub_MED,MotherHub_BIL,97200,2305,97200,345600
Shipment,MotherHub_BIL_MotherHub_PAT,19.2374987,73.0362352,25.587197,85.185842,MotherHub_BIL,MotherHub_PAT,97200,2287,97200,345600
Shipment,MotherHub_BIL_MotherHub_GAU,19.2374987,73.0362352,26.043197,91.705232,MotherHub_BIL,MotherHub_GAU,97200,2255,97200,345600
Shipment,MotherHub_MED_MotherHub_CHN,17.580519,78.469527,13.04591,80.067723,MotherHub_MED,MotherHub_CHN,97200,2236,97200,345600
Shipment,MotherHub_BIL_MotherHub_CHN,19.2374987,73.0362352,13.04591,80.067723,MotherHub_BIL,MotherHub_CHN,97200,2222,97200,345600
Shipment,MotherHub_MED_MotherHub_BNL,17.580519,78.469527,28.544869,77.128134,MotherHub_MED,MotherHub_BNL,97200,2149,97200,345600
Shipment,MotherHub_MED_MotherHub_KOL,17.580519,78.469527,22.708183,88.28565,MotherHub_MED,MotherHub_KOL,97200,2041,97200,345600
Shipment,MotherHub_BIL_MotherHub_ABL,19.2374987,73.0362352,30.396612,76.8116,MotherHub_BIL,MotherHub_ABL,97200,1915,97200,345600
