Type,key,zonal_del_src_lat,zonal_del_src_long,zonal_del_dest_lat,zonal_del_dest_long,zonal_del_src,zonal_del_dest,modified_ready_time,load
Shipment,MOTHERHUB_BLR-DHARWADHUB_HBX-18.75472222,12.9842798,77.8242648,15.463547,74.999768,MOTHERHUB_BLR,DHARWADHUB_HBX,67517,201
Shipment,MOTHERHUB_BLR-DHARWADHUB_HBX-22.7475,12.9842798,77.8242648,15.463547,74.999768,MOTHERHUB_BLR,DHARWADHUB_HBX,81891,61
Shipment,MOTHERHUB_BLR-DHARWADHUB_HBX-3.22777778,12.9842798,77.8242648,15.463547,74.999768,MOTHERHUB_BLR,DHARWADHUB_HBX,11620,100
Shipment,MOTHERHUB_BLR-GULBARGAHUB_GUL-10.26444444,12.9842798,77.8242648,17.3098466,76.3816097,MOTHERHUB_BLR,GULBARGAHUB_GUL,36952,32
Shipment,MOTHERHUB_BLR-GULBARGAHUB_GUL-18.75472222,12.9842798,77.8242648,17.3098466,76.3816097,MOTHERHUB_BLR,GULBARGAHUB_GUL,67517,447
Shipment,MOTHERHUB_BLR-GULBARGAHUB_GUL-22.7475,12.9842798,77.8242648,17.3098466,76.3816097,MOTHERHUB_BLR,GULBARGAHUB_GUL,81891,76
Shipment,MOTHERHUB_BLR-GULBARGAHUB_GUL-3.22777778,12.9842798,77.8242648,17.3098466,76.3816097,MOTHERHUB_BLR,GULBARGAHUB_GUL,11620,171
Shipment,MOTHERHUB_BLR-HASSANHUB_HSN-10.26444444,12.9842798,77.8242648,13.001051,76.099276,MOTHERHUB_BLR,HASSANHUB_HSN,36952,31
Shipment,MOTHERHUB_BLR-HASSANHUB_HSN-18.75472222,12.9842798,77.8242648,13.001051,76.099276,MOTHERHUB_BLR,HASSANHUB_HSN,67517,381
Shipment,MOTHERHUB_BLR-HASSANHUB_HSN-22.7475,12.9842798,77.8242648,13.001051,76.099276,MOTHERHUB_BLR,HASSANHUB_HSN,81891,72
Shipment,MOTHERHUB_BLR-HASSANHUB_HSN-3.22777778,12.9842798,77.8242648,13.001051,76.099276,MOTHERHUB_BLR,HASSANHUB_HSN,11620,172
Shipment,MOTHERHUB_BLR-HOSURHUB_HOS-10.26444444,12.9842798,77.8242648,12.724809,77.823444,MOTHERHUB_BLR,HOSURHUB_HOS,36952,61
Shipment,MOTHERHUB_BLR-HOSURHUB_HOS-18.75472222,12.9842798,77.8242648,12.724809,77.823444,MOTHERHUB_BLR,HOSURHUB_HOS,67517,417
Shipment,MOTHERHUB_BLR-HOSURHUB_HOS-22.7475,12.9842798,77.8242648,12.724809,77.823444,MOTHERHUB_BLR,HOSURHUB_HOS,81891,73
Shipment,MOTHERHUB_BLR-HOSURHUB_HOS-3.22777778,12.9842798,77.8242648,12.724809,77.823444,MOTHERHUB_BLR,HOSURHUB_HOS,11620,213
Shipment,MOTHERHUB_BLR-HUBLIHUB_HBX-10.26444444,12.9842798,77.8242648,15.353424,75.1411301,MOTHERHUB_BLR,HUBLIHUB_HBX,36952,40
Shipment,MOTHERHUB_BLR-HUBLIHUB_HBX-18.75472222,12.9842798,77.8242648,15.353424,75.1411301,MOTHERHUB_BLR,HUBLIHUB_HBX,67517,359
Shipment,MOTHERHUB_BLR-HUBLIHUB_HBX-22.7475,12.9842798,77.8242648,15.353424,75.1411301,MOTHERHUB_BLR,HUBLIHUB_HBX,81891,65
Shipment,MOTHERHUB_BLR-HUBLIHUB_HBX-3.22777778,12.9842798,77.8242648,15.353424,75.1411301,MOTHERHUB_BLR,HUBLIHUB_HBX,11620,183
Shipment,MOTHERHUB_BLR-JAYDEVNAGARHUB_MYS-10.26444444,12.9842798,77.8242648,12.3519896,76.6260603,MOTHERHUB_BLR,JAYDEVNAGARHUB_MYS,36952,40
Shipment,MOTHERHUB_BLR-JAYDEVNAGARHUB_MYS-18.75472222,12.9842798,77.8242648,12.3519896,76.6260603,MOTHERHUB_BLR,JAYDEVNAGARHUB_MYS,67517,393
Shipment,MOTHERHUB_BLR-JAYDEVNAGARHUB_MYS-22.7475,12.9842798,77.8242648,12.3519896,76.6260603,MOTHERHUB_BLR,JAYDEVNAGARHUB_MYS,81891,69
Shipment,MOTHERHUB_BLR-JAYDEVNAGARHUB_MYS-3.22777778,12.9842798,77.8242648,12.3519896,76.6260603,MOTHERHUB_BLR,JAYDEVNAGARHUB_MYS,11620,194
Shipment,MOTHERHUB_BLR-KANNURHUB_KAN-10.26444444,12.9842798,77.8242648,11.896797,75.3521253,MOTHERHUB_BLR,KANNURHUB_KAN,36952,51
Shipment,MOTHERHUB_BLR-KANNURHUB_KAN-18.75472222,12.9842798,77.8242648,11.896797,75.3521253,MOTHERHUB_BLR,KANNURHUB_KAN,67517,522
Shipment,MOTHERHUB_BLR-KANNURHUB_KAN-22.7475,12.9842798,77.8242648,11.896797,75.3521253,MOTHERHUB_BLR,KANNURHUB_KAN,81891,90
Shipment,MOTHERHUB_BLR-KANNURHUB_KAN-3.22777778,12.9842798,77.8242648,11.896797,75.3521253,MOTHERHUB_BLR,KANNURHUB_KAN,11620,251
