Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,ready_time,Load,delivery_time
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-6.16813888888888,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,22205,4,208701
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-6.16843055555555,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,22206,26,208701
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-6.46301388888888,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,23267,4,208701
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-6.48051388888889,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,23330,4,208701
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-6.63780555555522,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,23896,8,211568
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-6.96447222222188,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,25072,8,211568
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-6.96476388888855,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,25073,156,211568
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-7.25934722222188,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,26134,8,211568
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-7.27684722222189,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,26197,8,211568
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-7.94150000000069,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,28589,6,216261
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-7.97005555555555,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,28692,4,208701
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-8.26816666666735,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,29765,6,216261
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-8.26845833333402,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,29766,92,216261
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-8.56304166666735,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,30827,5,216261
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-8.58054166666736,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,30890,8,216261
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-8.76638888888855,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,31559,8,211568
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-0.582486111111681,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,2097,32,172648
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-0.851111111111681,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,3064,34,172648
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-21.784819444445,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,78425,99,259048
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-22.9436111111117,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,82597,10,259048
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-23.498069444445,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,84593,23,259048
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-4.54977777777776,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,16379,88,197002
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-4.54977777777777,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,16379,24,197002
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-5.70856944444443,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,20551,13,197002
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-6.26302777777777,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,22547,34,197002
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-7.34744444444443,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,26451,62,197002
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-7.61606944444443,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,27418,44,197002
Shipment,MOTHERHUB_MED-MOTHERHUB_AMD-14.6102222222225,17.580519,78.469527,22.8978044,72.5902141,MOTHERHUB_MED,MOTHERHUB_AMD,52597,500,239134
Shipment,MOTHERHUB_MED-MOTHERHUB_AMD-19.2376111111109,17.580519,78.469527,22.8978044,72.5902141,MOTHERHUB_MED,MOTHERHUB_AMD,69255,246,255792
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL-11.7123888888885,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,42165,271,153821
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL-13.9109027777772,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,50079,917,161735
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL-14.7586944444446,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,53131,885,164787
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL-15.5223055555558,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,55880,2239,167536
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL-2.93865277777812,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,10579,333,122235
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR-10.7854722222219,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,38828,3556,130996
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR-12.647138888889,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,45530,163,137698
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR-13.4509999999995,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,48424,566,140592
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR-21.1365555555556,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,76092,2822,168260
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR-7.5983750000008,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,27354,1132,119522
Shipment,MOTHERHUB_MED-MOTHERHUB_CHN-20.4233055555552,17.580519,78.469527,13.04591,80.067723,MOTHERHUB_MED,MOTHERHUB_CHN,73524,35,130996
Shipment,MOTHERHUB_MED-MOTHERHUB_CHN-7.63038888888935,17.580519,78.469527,13.04591,80.067723,MOTHERHUB_MED,MOTHERHUB_CHN,27469,1542,84941
Shipment,MOTHERHUB_MED-MOTHERHUB_JAI-7.22702777777801,17.580519,78.469527,26.948928,75.761927,MOTHERHUB_MED,MOTHERHUB_JAI,26017,495,175531
Shipment,MOTHERHUB_MED-MOTHERHUB_JAI-8.51893055555531,17.580519,78.469527,26.948928,75.761927,MOTHERHUB_MED,MOTHERHUB_JAI,30668,286,180182
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-0.465555555555579,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,1676,194,164622
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-12.4190000000002,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,44708,344,207655
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-12.9506805555553,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,46622,255,209569
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-14.1158333333332,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,50817,240,213763
