Type,Key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,Ready_time,load,Resort_time_at_dest
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-2.82777778-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,10180,3,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-2.51138889-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,9041,2,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-3.22777778-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,11620,3,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-16.43055556-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,59150,36,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-2.97888889-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,10724,2,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-17.59166667-0,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,63330,88,0
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-2.67-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,9612,1,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-18.14777778-14400,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,65332,10,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-17.61166667-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,63402,11,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-18.75472222-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,67517,5,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-22.22166667-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,79998,53,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-3-0,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,10800,250,0
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-3-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,10800,3,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-10.26444444-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,36952,46,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-22.7475-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,81891,29,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-2.82777778-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,10180,3,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-2.51138889-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,9041,2,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-3.22777778-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,11620,12,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-16.43055556-0,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,59150,106,0
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-2.97888889-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,10724,5,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-17.59166667-0,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,63330,357,0
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-2.67-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,9612,3,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-18.14777778-14400,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,65332,33,14400
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-17.61166667-14400,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,63402,5,14400
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-18.75472222-14400,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,67517,3,14400
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-22.22166667-14400,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,79998,23,14400
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-3-0,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,10800,97,0
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-3-14400,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,10800,2,14400
