 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
,,,,,,,,,
4, 6-MOTHERHUB_BIL-28   , start                 , -               , undef           ,0,0,,,
4, 6-MOTHERHUB_BIL-28   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_KOL ,0,0,0,,,
4, 6-MOTHERHUB_BIL-28   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_KOL ,192447,192447,55886672,53.4575,2.2273958333,55886.672
4, 6-MOTHERHUB_BIL-28   , end                   , -               ,192447, undef           ,55886672,,,
,,,,,,,,,
5, 1-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0,,,
5, 1-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_PTI-1 ,0,0,0,,,
5, 1-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_PTI-1 ,127518,127518,37416011,,,
5, 1-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-2 ,127518,127518,37416011,,,
5, 1-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-2 ,281536,281536,82607380,78.2044444444,3.2585185185,82607.38
5, 1-MOTHERHUB_BIL-32   , end                   , -               ,281536, undef           ,82607380,,,
,,,,,,,,,
6, 9-MOTHERHUB_PTI-22   , start                 , -               , undef           ,0,0,,,
6, 9-MOTHERHUB_PTI-22   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-5 ,0,0,0,,,
6, 9-MOTHERHUB_PTI-22   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-5 ,121014,121014,37789478,33.615,1.400625,37789.478
6, 9-MOTHERHUB_PTI-22   , end                   , -               ,121014, undef           ,37789478,,,
,,,,,,,,,
7, 0-MOTHERHUB_PTI-28   , start                 , -               , undef           ,0,0,,,
7, 0-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_CHN ,0,0,0,,,
7, 0-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_CHN ,21783,21783,6325890,,,
7, 0-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_CHN ,211974,211974,61557137,,,
7, 0-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_CHN ,211974,211974,61557137,,,
7, 0-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_BLR ,211974,211974,61557137,,,
7, 0-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_BLR ,240703,240703,69900197,66.8619444444,2.7859143519,69900.197
7, 0-MOTHERHUB_PTI-28   , end                   , -               ,240703, undef           ,69900197,,,
,,,,,,,,,
8, 0-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
8, 0-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_MED-1 ,0,0,0,,,
8, 0-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_MED-1 ,142102,142102,41695106,39.4727777778,1.6446990741,41695.106
8, 0-MOTHERHUB_PTI-32   , end                   , -               ,142102, undef           ,41695106,,,
,,,,,,,,,
9, 1-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
9, 1-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-5 ,0,0,0,,,
9, 1-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_AMD ,21783,21783,6391613,,,
9, 1-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_BLR ,21783,21783,6391613,,,
9, 1-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_AMD ,87052,87052,25542561,,,
9, 1-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-5 ,232758,232758,68295290,,,
9, 1-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_BLR ,232758,232758,68295290,64.655,2.6939583333,68295.29
9, 1-MOTHERHUB_PTI-32   , end                   , -               ,232758, undef           ,68295290,,,
,,,,,,,,,
10, 2-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
10, 2-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-3 ,0,0,0,,,
10, 2-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-3 ,154017,154017,45191369,42.7825,1.7826041667,45191.369
10, 2-MOTHERHUB_PTI-32   , end                   , -               ,154017, undef           ,45191369,,,
,,,,,,,,,
11, 3-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
11, 3-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-4 ,0,0,0,,,
11, 3-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-4 ,201496,201496,59122498,55.9711111111,2.3321296296,59122.498
11, 3-MOTHERHUB_PTI-32   , end                   , -               ,201496, undef           ,59122498,,,
,,,,,,,,,
12, 4-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
12, 4-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BIL-3 ,0,0,0,,,
12, 4-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_BIL ,21783,21783,6391613,,,
