Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED-3,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,10800,4806,
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-14.5588888888889,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,52412,245,
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-15.1805555555556,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,54650,1504,
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-3-0,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,9270,
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-3-1,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,270,
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-14.5588888888889,12.9842798,77.8242648,21.0895987,72.900005,MOTHERHUB_BLR,MOTHERHUB_STV,52412,18,
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-15.1805555555556,12.9842798,77.8242648,21.0895987,72.900005,MOTHERHUB_BLR,MOTHERHUB_STV,54650,154,
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-3,12.9842798,77.8242648,21.0895987,72.900005,MOTHERHUB_BLR,MOTHERHUB_STV,10800,361,
Shipment,MOTHERHUB_CHN-MOTHERHUB_AMD-3,13.04591,80.067723,22.8978044,72.5902141,MOTHERHUB_CHN,MOTHERHUB_AMD,10800,551,
Shipment,MOTHERHUB_CHN-MOTHERHUB_BIL-3,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_BIL,10800,2066,
Shipment,MOTHERHUB_CHN-MOTHERHUB_BLR-3,13.04591,80.067723,12.9842798,77.8242648,MOTHERHUB_CHN,MOTHERHUB_BLR,10800,4924,
Shipment,MOTHERHUB_CHN-MOTHERHUB_JAI-3,13.04591,80.067723,26.948928,75.761927,MOTHERHUB_CHN,MOTHERHUB_JAI,10800,435,
Shipment,MOTHERHUB_CHN-MOTHERHUB_KOL-3,13.04591,80.067723,22.708183,88.28565,MOTHERHUB_CHN,MOTHERHUB_KOL,10800,2121,
Shipment,MOTHERHUB_CHN-MOTHERHUB_MED-3,13.04591,80.067723,17.580519,78.469527,MOTHERHUB_CHN,MOTHERHUB_MED,10800,1460,
Shipment,MOTHERHUB_CHN-MOTHERHUB_PTI-3,13.04591,80.067723,28.294166,76.855804,MOTHERHUB_CHN,MOTHERHUB_PTI,10800,3117,
Shipment,MOTHERHUB_CHN-MOTHERHUB_STV-3,13.04591,80.067723,21.0895987,72.900005,MOTHERHUB_CHN,MOTHERHUB_STV,10800,196,
Shipment,MOTHERHUB_JAI-MOTHERHUB_AMD-3,26.948928,75.761927,22.8978044,72.5902141,MOTHERHUB_JAI,MOTHERHUB_AMD,10800,331,
Shipment,MOTHERHUB_JAI-MOTHERHUB_BIL-3,26.948928,75.761927,19.2374987,73.0362352,MOTHERHUB_JAI,MOTHERHUB_BIL,10800,1392,
Shipment,MOTHERHUB_JAI-MOTHERHUB_BLR-3,26.948928,75.761927,12.9842798,77.8242648,MOTHERHUB_JAI,MOTHERHUB_BLR,10800,2650,
Shipment,MOTHERHUB_JAI-MOTHERHUB_CHN-3,26.948928,75.761927,13.04591,80.067723,MOTHERHUB_JAI,MOTHERHUB_CHN,10800,466,
Shipment,MOTHERHUB_JAI-MOTHERHUB_KOL-3,26.948928,75.761927,22.708183,88.28565,MOTHERHUB_JAI,MOTHERHUB_KOL,10800,2587,
Shipment,MOTHERHUB_JAI-MOTHERHUB_MED-3,26.948928,75.761927,17.580519,78.469527,MOTHERHUB_JAI,MOTHERHUB_MED,10800,872,
Shipment,MOTHERHUB_JAI-MOTHERHUB_PTI-3,26.948928,75.761927,28.294166,76.855804,MOTHERHUB_JAI,MOTHERHUB_PTI,10800,3311,
Shipment,MOTHERHUB_JAI-MOTHERHUB_STV-3,26.948928,75.761927,21.0895987,72.900005,MOTHERHUB_JAI,MOTHERHUB_STV,10800,113,
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-13.9855555555556,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,50348,35,
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-17.9336111111111,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,64561,44,
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-19.6308333333333,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,70671,33,
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-20.0286111111111,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,72103,38,
