Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time,Load,Del_time,flag,Ready_time_10,del_time,Ready_time_11,dist,time,Ready_time_10,del_time_10,Ready_time_11,del_time_11,Ready_time_12,del_time_12,Ready_time_1,del_time_1,Ready_time_2,del_time_2,Ready_time_3,del_time_3
Shipment,MotherHub_BAM-PanchkulaHub_PKL,28.545321,77.02914,30.68354,76.83065,MotherHub_BAM,PanchkulaHub_PKL,79200,931,118800,1,79200,126000,82800,310.0915181721,10.3363839391,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-PanipatHub_PPT,28.545321,77.02914,29.41169,76.97199,MotherHub_BAM,PanipatHub_PPT,79200,760,118800,1,79200,126000,82800,125.4449273319,4.1814975777,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-PathankotHub_PHT,28.545321,77.02914,32.26081,75.62925,MotherHub_BAM,PathankotHub_PHT,79200,250,126000,1,79200,126000,82800,564.713430394,18.8237810131,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-PatialaHub_PTA,28.545321,77.02914,30.33504,76.40621,MotherHub_BAM,PatialaHub_PTA,79200,778,118800,1,79200,126000,82800,270.331976331,9.0110658777,79200,118800,82800,118800,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-PhagwaraHub_PGR,28.545321,77.02914,31.20092,75.77628,MotherHub_BAM,PhagwaraHub_PGR,79200,245,118800,1,79200,126000,82800,414.7454570852,13.8248485695,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-RewariHub_RWR,28.545321,77.02914,28.19758,76.6242,MotherHub_BAM,RewariHub_RWR,79200,457,118800,1,79200,126000,82800,71.9686132381,2.3989537746,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-RohtakHub_ROH,28.545321,77.02914,28.88296,76.61991,MotherHub_BAM,RohtakHub_ROH,79200,789,118800,1,79200,126000,82800,71.2301895998,2.3743396533,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-RoorkeeHub_HRD,28.545321,77.02914,29.8543,77.888,MotherHub_BAM,RoorkeeHub_HRD,79200,221,118800,1,79200,126000,82800,218.0531978586,7.2684399286,79200,118800,82800,118800,86400,118800,90000,118800,104400,205200,104400,205200
Shipment,MotherHub_BAM-RudrapurHub_RDP,28.545321,77.02914,28.98751,79.41412,MotherHub_BAM,RudrapurHub_RDP,79200,429,118800,1,79200,126000,82800,308.8896428278,10.2963214276,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-RupnagarHub_RUP,28.545321,77.02914,30.95257,76.50697,MotherHub_BAM,RupnagarHub_RUP,79200,267,118800,1,79200,126000,82800,354.0913971038,11.8030465701,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-SaharanpurHub_SHP,28.545321,77.02914,29.95604,77.54524,MotherHub_BAM,SaharanpurHub_SHP,79200,354,118800,1,79200,126000,82800,214.0596750683,7.1353225023,79200,118800,82800,118800,86400,118800,90000,118800,104400,205200,104400,205200
Shipment,MotherHub_BAM-SangrurHub_SNR,28.545321,77.02914,30.24814,75.83418,MotherHub_BAM,SangrurHub_SNR,79200,211,118800,1,79200,126000,82800,288.5032005307,9.616773351,79200,118800,82800,118800,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-SirsaHub_SRS,28.545321,77.02914,29.53637,75.01584,MotherHub_BAM,SirsaHub_SRS,79200,312,118800,1,79200,126000,82800,291.9897328114,9.7329910937,79200,118800,82800,118800,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-SonepatHub_SOP,28.545321,77.02914,28.99955,77.03274,MotherHub_BAM,SonepatHub_SOP,79200,540,118800,1,79200,126000,82800,65.6619328204,2.188731094,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-YamunaNagarHub_YNR,28.545321,77.02914,30.12658,77.29488,MotherHub_BAM,YamunaNagarHub_YNR,79200,347,118800,1,79200,126000,82800,231.0160901263,7.7005363375,79200,118800,82800,118800,86400,118800,90000,118800,104400,205200,104400,205200
