Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,Leg2_modified_reach_time,Load
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-23.4730555555556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,84503,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-23.7383333333333,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,85458,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-3,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,10800,7358
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-4.32805555555556,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,15581,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-4.49138888888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,16169,1295
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-4.64722222222223,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,16730,53
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-5.01777777777778,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,18064,166
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-5.55388888888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,19994,416
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-0.0119444444444383,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,43,18
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-14.5588888888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,52412,24
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-15.1805555555556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,54650,43
