type,vehicleID,src_lat,src_long,Fleet_Type,Capacity ,connectionTime
Air,MotherHub_BNO_AI_401,28.544563,77.031259,AI_401,1000000000,2
Air,MotherHub_BNO_AI_020,28.544563,77.031259,AI_020,1000000000,9.25
Air,MotherHub_BNO_AI_764,28.544563,77.031259,AI_764,1000000000,12
Air,MotherHub_BNO_AI_022,28.544563,77.031259,AI_022,1000000000,15.25
Air,MotherHub_BNO_AI_560,28.544563,77.031259,AI_560,1000000000,1.83
Air,MotherHub_BNO_AI_542,28.544563,77.031259,AI_542,1000000000,4.83
Air,MotherHub_BNO_AI_544,28.544563,77.031259,AI_544,1000000000,8.25
Air,MotherHub_BNO_AI_839,28.544563,77.031259,AI_839,1000000000,15.92
Air,MotherHub_BNO_AI_439,28.544563,77.031259,AI_439,1000000000,1.92
Air,MotherHub_BNO_AI_429,28.544563,77.031259,AI_429,1000000000,5.5
Air,MotherHub_BNO_AI_042,28.544563,77.031259,AI_042,1000000000,12.25
Air,MotherHub_BNO_AI_540,28.544563,77.031259,AI_540,1000000000,15.92
Air,MotherHub_BNO_AI851,28.544563,77.031259,AI851,1000000000,0
Air,MotherHub_BNO_AI849,28.544563,77.031259,AI849,1000000000,11
Air,MotherHub_BNO_AI477,28.544563,77.031259,AI477,1000000000,0.67
Air,MotherHub_BNO_AI_469,28.544563,77.031259,AI_469,1000000000,0.75
Air,MotherHub_AMD_S2_4687,22.8978044,72.5902141,S2_4687,1000000000,2.42
Air,MotherHub_BLR_9W808,12.9842798,77.8242648,9W808,1000000000,6.5
Air,MotherHub_BLR_S2_4838,12.9842798,77.8242648,S2_4838,1000000000,8
Air,MotherHub_BLR_9W_661,12.9842798,77.8242648,9W_661,1000000000,9.75
Air,MotherHub_CHN_9W736,13.04591,80.067723,9W736,1000000000,5.42
Air,MotherHub_CHN_9W466,13.04591,80.067723,9W466,1000000000,3
Air,MotherHub_CHN_9W2491,13.04591,80.067723,9W2491,1000000000,4.75
Air,MotherHub_BNO_S2_4837,28.544563,77.031259,S2_4837,1000000000,4.58
Air,MotherHub_BNO_9W823,28.544563,77.031259,9W823,1000000000,9.33
Air,MotherHub_BNO_9W834,28.544563,77.031259,9W834,1000000000,15.75
Air,MotherHub_BNO_9W854,28.544563,77.031259,9W854,1000000000,9.92
Air,MotherHub_BNO_9W832,28.544563,77.031259,9W832,1000000000,11.33
Air,MotherHub_BNO_9W739,28.544563,77.031259,9W739,1000000000,15.58
Air,MotherHub_BNO_9W643,28.544563,77.031259,9W643,1000000000,15.75
Air,MotherHub_BNO_S2_4282,28.544563,77.031259,S2_4282,1000000000,15.42
Air,MotherHub_BNO_9W907,28.544563,77.031259,9W907,1000000000,5.83
Air,MotherHub_BNO_9W358,28.544563,77.031259,9W358,1000000000,5.5
