+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985984888192E17                   | 
| noVehicles    | 37                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_ABL | 100088          | 100088          | 6125369         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PAT-MOTHERHUB_ABL | 100088          | 100088          | 6125369         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_LKO-MOTHERHUB_IDR | 150198          | 150198          | 9192090         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PAT-MOTHERHUB_IDR | 150198          | 150198          | 9192090         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_IDR | 150198          | 150198          | 9192090         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_IDR | 150198          | 150198          | 9192090         |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_LKO-MOTHERHUB_AMD | 170173          | 170173          | 10414589        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PAT-MOTHERHUB_AMD | 170173          | 170173          | 10414589        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PAT-MOTHERHUB_STV | 182146          | 182146          | 11147334        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PAT-MOTHERHUB_BIL | 194287          | 194287          | 11890338        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PTI-MOTHERHUB_MUM | 195640          | 195640          | 11973170        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_MUM | 195640          | 195640          | 11973170        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_LKO-MOTHERHUB_PUNE | 201961          | 201961          | 12360005        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PAT-MOTHERHUB_PUNE | 201961          | 201961          | 12360005        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_MED | 232197          | 232197          | 14210475        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PAT-MOTHERHUB_MED | 232197          | 232197          | 14210475        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_LKO-MOTHERHUB_MED | 232197          | 232197          | 14210475        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_BAM-MOTHERHUB_MED | 232197          | 232197          | 14210475        |
| 5       | 4-MOTHERHUB_KOL-32   | deliverShipment       | MOTHERHUB_PAT-MOTHERHUB_BLR | 262528          | 262528          | 16066741        |
| 5       | 4-MOTHERHUB_KOL-32   | end                   | -               | 262528          | undef           | 16066741        |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 6       | 8-MOTHERHUB_KOL-24   | start                 | -               | undef           | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_IXR | 0               | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_AMD | 0               | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_STV | 0               | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_PUNE | 0               | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_GOA | 0               | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_CHN | 0               | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_BLR | 0               | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_CJB | 0               | 0               | 0               |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-COCHINTCHUB_KAM | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_GOA | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_BIL | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_MUM | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_IXR | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_AMD | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_CJB | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_STV | 16285           | 16285           | 1113883         |
