Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_time,Ready_time_1,key_leg2
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-21.6674861111107,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,78003,615,9347,21.66748611,MOTHERHUB_AMD-MOTHERHUB_PTI-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-23.8567222222222,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,85884,48,17228,23.85672222,MOTHERHUB_AMD-MOTHERHUB_PTI-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_STV-14.9801111111117,22.8978044,72.5902141,21.0895987,72.900005,MOTHERHUB_AMD,MOTHERHUB_STV,53928,67,86248,14.98011111,MOTHERHUB_AMD-MOTHERHUB_STV-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_STV-21.7450694444444,22.8978044,72.5902141,21.0895987,72.900005,MOTHERHUB_AMD,MOTHERHUB_STV,78282,55,24202,21.74506944,MOTHERHUB_AMD-MOTHERHUB_STV-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD-1.48227777777756,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,5336,11,82992,1.482277778,MOTHERHUB_BIL-MOTHERHUB_AMD-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD-20.8548888888892,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,75078,23,66334,20.85488889,MOTHERHUB_BIL-MOTHERHUB_AMD-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD-1.48256944444423,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,5337,44,82992,1.482569444,MOTHERHUB_BIL-MOTHERHUB_AMD-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD-20.8551805555559,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,75079,72,66334,20.85518056,MOTHERHUB_BIL-MOTHERHUB_AMD-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD-5.08163888888921,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,18294,1275,66334,5.081638889,MOTHERHUB_BIL-MOTHERHUB_AMD-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD-9.70902777777757,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,34952,571,82992,9.709027778,MOTHERHUB_BIL-MOTHERHUB_AMD-3
