 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
6, 3-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_PTI-1 ,0,0,0,,,
6, 3-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_PTI-1 ,127518,127518,37416011,35.4216666667,1.4759027778,37416.011
6, 3-MOTHERHUB_BIL-32   , end                   , -               ,127518, undef           ,37416011,,,
,,,,,,,,,
7, 9-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0,,,
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_PTI-2 ,0,0,0,,,
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_JAI ,0,0,0,,,
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_STV ,0,0,0,,,
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_AMD ,0,0,0,,,
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_AMD ,24392,24392,7156896,,,
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_STV ,24392,24392,7156896,,,
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_JAI ,48446,48446,14214977,,,
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_PTI ,48446,48446,14214977,,,
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_AMD ,48446,48446,14214977,,,
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_AMD ,48446,48446,14214977,,,
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_PTI ,72501,72501,21273058,,,
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_JAI ,156787,156787,46004064,,,
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_JAI ,156787,156787,46004064,,,
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_PTI ,178571,178571,52395677,,,
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_PTI ,178571,178571,52395677,,,
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_PTI-2 ,178571,178571,52395677,49.6030555556,2.0667939815,52395.677
7, 9-MOTHERHUB_BIL-32   , end                   , -               ,178571, undef           ,52395677,,,
,,,,,,,,,
8, 3-MOTHERHUB_PTI-22   , start                 , -               , undef           ,0,0,,,
8, 3-MOTHERHUB_PTI-22   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_STV ,0,0,0,,,
