Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load,SLA
Shipment,ECO-MotherHub_CHN-MotherHub_JAI,13.04591,80.067723,26.948928,75.761927,MotherHub_CHN,MotherHub_JAI,86340,8,163961
Shipment,ECO-MotherHub_CHN-MotherHub_KOL,13.04591,80.067723,22.708183,88.28565,MotherHub_CHN,MotherHub_KOL,86340,38,135342
Shipment,ECO-MotherHub_CHN-MotherHub_LKO,13.04591,80.067723,26.755912,80.910939,MotherHub_CHN,MotherHub_LKO,86340,5,125201
Shipment,ECO-MotherHub_CHN-MotherHub_MUM,13.04591,80.067723,19.1170238,72.8580558,MotherHub_CHN,MotherHub_MUM,86340,12,82007
Shipment,ECO-MotherHub_CHN-MotherHub_PAT,13.04591,80.067723,25.587197,85.185842,MotherHub_CHN,MotherHub_PAT,86340,14,152079
Shipment,ECO-MotherHub_CHN-MotherHub_PTI,13.04591,80.067723,28.294166,76.855804,MotherHub_CHN,MotherHub_PTI,86340,33,156493
Shipment,ECO-MotherHub_CHN-MotherHub_PUNE,13.04591,80.067723,18.6087917,73.7268817,MotherHub_CHN,MotherHub_PUNE,86340,19,94580
Shipment,ECO-MotherHub_CHN-MotherHub_RAI,13.04591,80.067723,22.056106,82.171855,MotherHub_CHN,MotherHub_RAI,86340,4,176071
Shipment,ECO-MotherHub_CHN-MotherHub_STV,13.04591,80.067723,21.0895987,72.900005,MotherHub_CHN,MotherHub_STV,86340,2,145516
Shipment,ECO-MotherHub_CJB-CochinTCHub_KAM,11.0633423,77.0910944,10.0435449,76.3367287,MotherHub_CJB,CochinTCHub_KAM,86340,4,42706
Shipment,ECO-MotherHub_CJB-MotherHub_AMD,11.0633423,77.0910944,22.8978044,72.5902141,MotherHub_CJB,MotherHub_AMD,86340,19,93586
Shipment,ECO-MotherHub_CJB-MotherHub_BBI,11.0633423,77.0910944,20.295471,85.84707,MotherHub_CJB,MotherHub_BBI,86340,16,63684
Shipment,ECO-MotherHub_CJB-MotherHub_BIL,11.0633423,77.0910944,19.2374987,73.0362352,MotherHub_CJB,MotherHub_BIL,86340,17,82781
Shipment,ECO-MotherHub_CJB-MotherHub_BNO,11.0633423,77.0910944,28.544563,77.031259,MotherHub_CJB,MotherHub_BNO,86340,33,51697
Shipment,ECO-MotherHub_CJB-MotherHub_GAU,11.0633423,77.0910944,26.043197,91.705232,MotherHub_CJB,MotherHub_GAU,86340,27,78028
Shipment,ECO-MotherHub_CJB-MotherHub_GOA,11.0633423,77.0910944,15.3682554,73.946764,MotherHub_CJB,MotherHub_GOA,86340,17,44719
Shipment,ECO-MotherHub_CJB-MotherHub_IDR,11.0633423,77.0910944,22.777113,75.9021171,MotherHub_CJB,MotherHub_IDR,86340,9,88251
Shipment,ECO-MotherHub_CJB-MotherHub_IXR,11.0633423,77.0910944,23.352715,85.343538,MotherHub_CJB,MotherHub_IXR,86340,9,71957
