Type,modified_zonal_del_key,zonal_del_src_lat,zonal_del_src_long,zonal_del_dest_lat,zonal_del_dest_long,zonal_del_src,zonal_del_dest,Ready_time,Load
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-22.7475,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,81891,179
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-22.22166667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,79998,299
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-1.17222222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,4220,446
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-1.28722222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,4634,44
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-1.47222222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,5300,54
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-1.99666667,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,7188,332
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-2.8675,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,10323,286
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-2.18416667,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,7863,525
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-2.34805556,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,8453,113
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-3,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,10800,1090
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-9.05777778,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,32608,2864
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-18.05694444,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,65005,749
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-18.52805556,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,66701,281
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-23.02583333,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,82893,943
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-23.30027778,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,83881,26
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-1.17222222,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,4220,570
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-1.28722222,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,4634,73
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-1.47222222,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,5300,82
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-1.99666667,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,7188,44
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-2.8675,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,10323,557
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-2.18416667,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,7863,889
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-2.34805556,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,8453,187
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-3,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,10800,1145
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-9.05777778,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,32608,5623
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-18.05694444,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,65005,721
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-18.52805556,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,66701,271
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-23.02583333,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,82893,1188
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-23.30027778,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,83881,37
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-1.17222222,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,4220,290
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-1.28722222,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,4634,35
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-1.47222222,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,5300,32
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-1.99666667,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,7188,138
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-2.8675,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,10323,170
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-2.18416667,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,7863,307
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-2.34805556,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,8453,72
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-3,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,10800,648
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-9.05777778,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,32608,2005
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-18.05694444,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,65005,440
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-18.52805556,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,66701,154
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-23.02583333,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,82893,589
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-23.30027778,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,83881,14
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-1.17222222,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,4220,621
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-1.28722222,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,4634,106
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-1.47222222,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,5300,67
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-1.99666667,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,7188,420
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-2.8675,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,10323,390
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-2.18416667,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,7863,636
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-2.34805556,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,8453,145
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-3,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,10800,961
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-9.05777778,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,32608,4549
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-18.05694444,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,65005,591
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-18.52805556,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,66701,293
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-23.02583333,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,82893,888
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-23.30027778,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,83881,35
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-1.17222222,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,4220,173
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-1.28722222,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,4634,19
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-1.47222222,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,5300,23
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-1.99666667,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,7188,366
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-2.8675,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,10323,107
