Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Total
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-4.49138889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,16169,1295
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-5.55611111,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,20002,41
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-6.08222222000001,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,21896,406
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-6.66944444000001,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,24010,23
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-7.15277777999999,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,25750,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-7.94416667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,28599,750
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-8.04888889,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,28976,169
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-8.31472221999999,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,29933,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-8.58444444,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,30904,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-8.84972222,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,31859,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-9.12333332999999,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,32844,14
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-9.39666667,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,33828,14
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-12.12888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,43664,17
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-14.5588888888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,52412,24
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-15.12194444,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,54439,168
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-15.1805555555556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,54650,43
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-15.49277778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,55774,70
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-15.81194444,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,56923,35
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-16.34277778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,58834,334
