vehicleType,vehicleId,src_lat,src_long,vehicletype,Capacity
truck,123-MotherHub_BLP-407,28.294166,76.855804,407,2050
truck,124-MotherHub_BLR-407,12.9842798,77.8242648,407,2050
truck,125-MotherHub_BNO-407,28.544563,77.031259,407,2050
truck,126-MotherHub_CHN-407,13.04591,80.067723,407,2050
truck,127-MotherHub_DEL-407,28.52497,77.290408,407,2050
truck,128-MotherHub_DKN-407,22.739951,88.317675,407,2050
truck,129-MotherHub_IDR-407,22.777113,75.9021171,407,2050
truck,130-MotherHub_IXR-407,23.352715,85.343538,407,2050
truck,131-MotherHub_JAI-407,26.948928,75.761927,407,2050
truck,132-Motherhub_JIG-407,12.7831062,77.6446188,407,2050
truck,133-MotherHub_KNG-407,13.0608816,77.743673,407,2050
truck,134-MotherHub_KOL-407,22.708183,88.28565,407,2050
truck,135-MotherHub_LKO-407,26.755912,80.910939,407,2050
truck,136-MotherHub_MED-407,17.580519,78.469527,407,2050
truck,137-MotherHub_MUM-407,19.1170238,72.8580558,407,2050
truck,138-MotherHub_PAT-407,25.587197,85.185842,407,2050
truck,139-MotherHub_PTD-407,28.303142,76.82796,407,2050
truck,140-MotherHub_PTI-407,28.294166,76.855804,407,2050
truck,141-MotherHub_PUNE-407,18.6087917,73.7268817,407,2050
truck,142-MotherHub_PZH-407,13.378015,80.117251,407,2050
truck,143-MotherHub_RAI-407,22.056106,82.171855,407,2050
truck,144-MotherHub_STV-407,21.0895987,72.900005,407,2050
truck,145-MotherHub_WTF-407,12.9875238,77.8022383,407,2050
truck,146-MotherHub_ABL-407,30.396612,76.8116,407,2050
truck,147-MotherHub_AMD-407,22.8978044,72.5902141,407,2050
truck,148-MotherHub_BAM-407,28.545321,77.02914,407,2050
truck,149-MotherHub_BBI-407,20.295471,85.84707,407,2050
truck,150-MotherHub_BHI-407,19.2374896,73.0361464,407,2050
truck,151-MotherHub_BIL-407,19.2374987,73.0362352,407,2050
truck,152-MotherHub_BLP-407,28.294166,76.855804,407,2050
truck,153-MotherHub_BLR-407,12.9842798,77.8242648,407,2050
truck,154-MotherHub_BNO-407,28.544563,77.031259,407,2050
truck,155-MotherHub_CHN-407,13.04591,80.067723,407,2050
truck,156-MotherHub_DEL-407,28.52497,77.290408,407,2050
truck,157-MotherHub_DKN-407,22.739951,88.317675,407,2050
truck,158-MotherHub_IDR-407,22.777113,75.9021171,407,2050
truck,159-MotherHub_IXR-407,23.352715,85.343538,407,2050
truck,160-MotherHub_JAI-407,26.948928,75.761927,407,2050
truck,161-Motherhub_JIG-407,12.7831062,77.6446188,407,2050
truck,162-MotherHub_KNG-407,13.0608816,77.743673,407,2050
truck,163-MotherHub_KOL-407,22.708183,88.28565,407,2050
truck,164-MotherHub_LKO-407,26.755912,80.910939,407,2050
truck,165-MotherHub_MED-407,17.580519,78.469527,407,2050
truck,166-MotherHub_MUM-407,19.1170238,72.8580558,407,2050
truck,167-MotherHub_PAT-407,25.587197,85.185842,407,2050
truck,168-MotherHub_PTD-407,28.303142,76.82796,407,2050
truck,169-MotherHub_PTI-407,28.294166,76.855804,407,2050
truck,170-MotherHub_PUNE-407,18.6087917,73.7268817,407,2050
truck,171-MotherHub_PZH-407,13.378015,80.117251,407,2050
truck,172-MotherHub_RAI-407,22.056106,82.171855,407,2050
truck,173-MotherHub_STV-407,21.0895987,72.900005,407,2050
truck,174-MotherHub_WTF-407,12.9875238,77.8022383,407,2050
truck,175-MotherHub_ABL-709,30.396612,76.8116,709,2769
truck,176-MotherHub_AMD-709,22.8978044,72.5902141,709,2769
truck,177-MotherHub_BAM-709,28.545321,77.02914,709,2769
truck,178-MotherHub_BBI-709,20.295471,85.84707,709,2769
truck,179-MotherHub_BHI-709,19.2374896,73.0361464,709,2769
truck,180-MotherHub_BIL-709,19.2374987,73.0362352,709,2769
truck,181-MotherHub_BLP-709,28.294166,76.855804,709,2769
truck,182-MotherHub_BLR-709,12.9842798,77.8242648,709,2769
truck,183-MotherHub_BNO-709,28.544563,77.031259,709,2769
truck,184-MotherHub_CHN-709,13.04591,80.067723,709,2769
truck,185-MotherHub_DEL-709,28.52497,77.290408,709,2769
truck,186-MotherHub_DKN-709,22.739951,88.317675,709,2769
truck,187-MotherHub_IDR-709,22.777113,75.9021171,709,2769
truck,188-MotherHub_IXR-709,23.352715,85.343538,709,2769
truck,189-MotherHub_JAI-709,26.948928,75.761927,709,2769
truck,190-Motherhub_JIG-709,12.7831062,77.6446188,709,2769
truck,191-MotherHub_KNG-709,13.0608816,77.743673,709,2769
truck,192-MotherHub_KOL-709,22.708183,88.28565,709,2769
truck,193-MotherHub_LKO-709,26.755912,80.910939,709,2769
