Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,Ready_time,Load,pickup_time
Shipment,MOTHERHUB_BAM-NOIDAHUB_DEL-p,28.545321,77.02914,28.557544,77.357027,MOTHERHUB_BAM,NOIDAHUB_DEL,82800,542,0
Shipment,MOTHERHUB_BAM-NOIDAHUB_DEL-c,28.545321,77.02914,28.557544,77.357027,MOTHERHUB_BAM,NOIDAHUB_DEL,82800,267,3600
Shipment,MOTHERHUB_BAM-NOIDAMPHUB_DEL-p,28.545321,77.02914,28.557544,77.357027,MOTHERHUB_BAM,NOIDAMPHUB_DEL,82800,8,0
Shipment,MOTHERHUB_BAM-NOIDAMPHUB_DEL-c,28.545321,77.02914,28.557544,77.357027,MOTHERHUB_BAM,NOIDAMPHUB_DEL,82800,95,3600
Shipment,MOTHERHUB_BAM-OKHLAHUB_DEL-p,28.545321,77.02914,28.5342317,77.2746536,MOTHERHUB_BAM,OKHLAHUB_DEL,82800,2140,0
Shipment,MOTHERHUB_BAM-OKHLAHUB_DEL-c,28.545321,77.02914,28.5342317,77.2746536,MOTHERHUB_BAM,OKHLAHUB_DEL,82800,150,3600
Shipment,MOTHERHUB_BAM-PEERAGARHI_PRG-p,28.545321,77.02914,28.682213,77.090671,MOTHERHUB_BAM,PEERAGARHI_PRG,82800,2288,0
Shipment,MOTHERHUB_BAM-PEERAGARHI_PRG-c,28.545321,77.02914,28.682213,77.090671,MOTHERHUB_BAM,PEERAGARHI_PRG,82800,141,3600
Shipment,MOTHERHUB_BAM-PHASE3NOIDAHUB_DEL-p,28.545321,77.02914,26.617862,77.333564,MOTHERHUB_BAM,PHASE3NOIDAHUB_DEL,82800,1444,0
Shipment,MOTHERHUB_BAM-PHASE3NOIDAHUB_DEL-c,28.545321,77.02914,26.617862,77.333564,MOTHERHUB_BAM,PHASE3NOIDAHUB_DEL,82800,205,3600
Shipment,MOTHERHUB_BAM-RAJNAGARMPHUB_DEL-p,28.545321,77.02914,26.617862,77.333564,MOTHERHUB_BAM,RAJNAGARMPHUB_DEL,82800,97,0
Shipment,MOTHERHUB_BAM-RAJNAGARMPHUB_DEL-c,28.545321,77.02914,26.617862,77.333564,MOTHERHUB_BAM,RAJNAGARMPHUB_DEL,82800,394,3600
Shipment,MOTHERHUB_BAM-SAHIBABADHUB_DEL-p,28.545321,77.02914,28.653727,77.362186,MOTHERHUB_BAM,SAHIBABADHUB_DEL,82800,548,0
Shipment,MOTHERHUB_BAM-SAHIBABADHUB_DEL-c,28.545321,77.02914,28.653727,77.362186,MOTHERHUB_BAM,SAHIBABADHUB_DEL,82800,231,3600
Shipment,MOTHERHUB_BAM-VASANTKUNJHUB_DEL-p,28.545321,77.02914,28.540972,77.117725,MOTHERHUB_BAM,VASANTKUNJHUB_DEL,82800,845,0
Shipment,MOTHERHUB_BAM-VASANTKUNJHUB_DEL-c,28.545321,77.02914,28.540972,77.117725,MOTHERHUB_BAM,VASANTKUNJHUB_DEL,82800,185,3600
