Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,delivery_time,act_src,act_dest
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-19.6308333333333,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,70671,148,351471,MOTHERHUB_KOL,MOTHERHUB_BLR
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-20.0286111111111,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,72103,188,352903,MOTHERHUB_KOL,MOTHERHUB_BLR
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-21.2561111111111,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,76522,152,357322,MOTHERHUB_KOL,MOTHERHUB_BLR
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-3,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,10800,1440,291600,MOTHERHUB_KOL,MOTHERHUB_BLR
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-13.9855555555556,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,50348,24,331148,MOTHERHUB_KOL,MOTHERHUB_CHN
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-17.9336111111111,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,64561,25,345361,MOTHERHUB_KOL,MOTHERHUB_CHN
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-19.6308333333333,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,70671,18,351471,MOTHERHUB_KOL,MOTHERHUB_CHN
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-20.0286111111111,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,72103,21,352903,MOTHERHUB_KOL,MOTHERHUB_CHN
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-21.2561111111111,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,76522,16,357322,MOTHERHUB_KOL,MOTHERHUB_CHN
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-3,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,10800,235,291600,MOTHERHUB_KOL,MOTHERHUB_CHN
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-13.9855555555556,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_JAI,50348,48,331148,MOTHERHUB_KOL,MOTHERHUB_PTI
