Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load
Shipment,MOTHERHUB_GOA-MOTHERHUB_KOL,15.3682554,73.946764,22.708183,88.28565,MOTHERHUB_GOA,MOTHERHUB_KOL,0,37
Shipment,MOTHERHUB_GOA-MOTHERHUB_IDR,15.3682554,73.946764,22.777113,75.9021171,MOTHERHUB_GOA,MOTHERHUB_IDR,0,12
Shipment,MOTHERHUB_GOA-MOTHERHUB_AMD,15.3682554,73.946764,22.8978044,72.5902141,MOTHERHUB_GOA,MOTHERHUB_AMD,0,34
Shipment,MOTHERHUB_GOA-MOTHERHUB_IXR,15.3682554,73.946764,23.352715,85.343538,MOTHERHUB_GOA,MOTHERHUB_IXR,0,7
Shipment,MOTHERHUB_GOA-MOTHERHUB_PAT,15.3682554,73.946764,25.587197,85.185842,MOTHERHUB_GOA,MOTHERHUB_PAT,0,17
Shipment,MOTHERHUB_GOA-MOTHERHUB_GAU,15.3682554,73.946764,26.043197,91.705232,MOTHERHUB_GOA,MOTHERHUB_GAU,0,16
Shipment,MOTHERHUB_GOA-MOTHERHUB_LKO,15.3682554,73.946764,26.755912,80.910939,MOTHERHUB_GOA,MOTHERHUB_LKO,0,13
Shipment,MOTHERHUB_GOA-MOTHERHUB_JAI,15.3682554,73.946764,26.948928,75.761927,MOTHERHUB_GOA,MOTHERHUB_JAI,0,42
Shipment,MOTHERHUB_GOA-MOTHERHUB_PTI,15.3682554,73.946764,28.294166,76.855804,MOTHERHUB_GOA,MOTHERHUB_PTI,0,251
Shipment,MOTHERHUB_GOA-MOTHERHUB_BAM,15.3682554,73.946764,28.545321,77.02914,MOTHERHUB_GOA,MOTHERHUB_BAM,0,22
Shipment,MOTHERHUB_GOA-MOTHERHUB_ABL,15.3682554,73.946764,30.396612,76.8116,MOTHERHUB_GOA,MOTHERHUB_ABL,0,24
Shipment,MOTHERHUB_MED-COCHINTCHUB_KAM,17.580519,78.469527,10.0435449,76.3367287,MOTHERHUB_MED,COCHINTCHUB_KAM,0,1295
Shipment,MOTHERHUB_MED-MOTHERHUB_CJB,17.580519,78.469527,11.0633423,77.0910944,MOTHERHUB_MED,MOTHERHUB_CJB,0,566
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,0,6378
Shipment,MOTHERHUB_MED-MOTHERHUB_CHN,17.580519,78.469527,13.04591,80.067723,MOTHERHUB_MED,MOTHERHUB_CHN,0,1577
