Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,DH,dest_mh,ready_time,Load,pickup_add_time,finalready_time
Shipment,MOTHERHUB_AMD-GANDHIDHAMHUB_GDM-p,22.8978044,72.5902141,23.0803778,70.0947859,GANDHIDHAMHUB_GDM,MOTHERHUB_AMD,72000,229,0,72000
Shipment,MOTHERHUB_AMD-GANDHINAGARHUB_GAN-c,22.8978044,72.5902141,23.2019832,72.6147011,GANDHINAGARHUB_GAN,MOTHERHUB_AMD,72000,159,14400,86400
Shipment,MOTHERHUB_AMD-GANDHINAGARHUB_GAN-p,22.8978044,72.5902141,23.2019832,72.6147011,GANDHINAGARHUB_GAN,MOTHERHUB_AMD,72000,403,0,72000
Shipment,MOTHERHUB_AMD-GODHRAHUB_GHR-c,22.8978044,72.5902141,22.84282,73.76371,GODHRAHUB_GHR,MOTHERHUB_AMD,72000,100,14400,86400
Shipment,MOTHERHUB_AMD-GODHRAHUB_GHR-p,22.8978044,72.5902141,22.84282,73.76371,GODHRAHUB_GHR,MOTHERHUB_AMD,72000,3,0,72000
Shipment,MOTHERHUB_AMD-JAMNAGARHUB_QGR-c,22.8978044,72.5902141,22.468992,70.0412043,JAMNAGARHUB_QGR,MOTHERHUB_AMD,72000,172,14400,86400
Shipment,MOTHERHUB_AMD-JAMNAGARHUB_QGR-p,22.8978044,72.5902141,22.468992,70.0412043,JAMNAGARHUB_QGR,MOTHERHUB_AMD,72000,377,0,72000
Shipment,MOTHERHUB_AMD-JUNAGADHHUB_IXK-c,22.8978044,72.5902141,21.5219366,70.4552781,JUNAGADHHUB_IXK,MOTHERHUB_AMD,72000,175,14400,86400
Shipment,MOTHERHUB_AMD-JUNAGADHHUB_IXK-p,22.8978044,72.5902141,21.5219366,70.4552781,JUNAGADHHUB_IXK,MOTHERHUB_AMD,72000,229,0,72000
Shipment,MOTHERHUB_AMD-KALAWADROADHUB_RAJ-c,22.8978044,72.5902141,22.2850443,70.7723721,KALAWADROADHUB_RAJ,MOTHERHUB_AMD,72000,139,14400,86400
Shipment,MOTHERHUB_AMD-KALAWADROADHUB_RAJ-p,22.8978044,72.5902141,22.2850443,70.7723721,KALAWADROADHUB_RAJ,MOTHERHUB_AMD,72000,1099,0,72000
Shipment,MOTHERHUB_AMD-MANINAGARHUB_ADI-c,22.8978044,72.5902141,22.9893473,72.6426503,MANINAGARHUB_ADI,MOTHERHUB_AMD,72000,166,14400,86400
Shipment,MOTHERHUB_AMD-MANINAGARHUB_ADI-p,22.8978044,72.5902141,22.9893473,72.6426503,MANINAGARHUB_ADI,MOTHERHUB_AMD,72000,611,0,72000
Shipment,MOTHERHUB_AMD-MANINAGARMPHUB_AMD-c,22.8978044,72.5902141,22.9893473,72.64265,MANINAGARMPHUB_AMD,MOTHERHUB_AMD,72000,214,14400,86400
Shipment,MOTHERHUB_AMD-MANINAGARMPHUB_AMD-p,22.8978044,72.5902141,22.9893473,72.64265,MANINAGARMPHUB_AMD,MOTHERHUB_AMD,72000,16,0,72000
