Type,key,src_lat_n,src_long_n,dest_lat_n,dest_long_n,origin_hub_n,dest_mh_n,order_pattern,Load
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-1,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,0,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-2,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,0,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-3,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,0,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-4,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,0,1495
Shipment,MOTHERHUB_PTI-MOTHERHUB_CHN,28.294166,76.855804,13.04591,80.067723,MOTHERHUB_PTI,MOTHERHUB_CHN,0,4832
Shipment,MOTHERHUB_PTI-MOTHERHUB_JAI,28.294166,76.855804,26.948928,75.761927,MOTHERHUB_PTI,MOTHERHUB_JAI,0,5566
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-1,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,0,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-2,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,0,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-3,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,0,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-4,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,0,2476
Shipment,MOTHERHUB_PTI-MOTHERHUB_MED-1,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_PTI,MOTHERHUB_MED,0,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_MED-2,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_PTI,MOTHERHUB_MED,0,1418
Shipment,MOTHERHUB_PTI-MOTHERHUB_STV,28.294166,76.855804,21.0895987,72.900005,MOTHERHUB_PTI,MOTHERHUB_STV,0,1353
Shipment,MOTHERHUB_STV-MOTHERHUB_AMD,21.0895987,72.900005,22.8978044,72.5902141,MOTHERHUB_STV,MOTHERHUB_AMD,0,455
Shipment,MOTHERHUB_STV-MOTHERHUB_BIL,21.0895987,72.900005,19.2374987,73.0362352,MOTHERHUB_STV,MOTHERHUB_BIL,0,1885
Shipment,MOTHERHUB_STV-MOTHERHUB_BLR,21.0895987,72.900005,12.9842798,77.8242648,MOTHERHUB_STV,MOTHERHUB_BLR,0,2746
Shipment,MOTHERHUB_STV-MOTHERHUB_CHN,21.0895987,72.900005,13.04591,80.067723,MOTHERHUB_STV,MOTHERHUB_CHN,0,442
Shipment,MOTHERHUB_STV-MOTHERHUB_JAI,21.0895987,72.900005,26.948928,75.761927,MOTHERHUB_STV,MOTHERHUB_JAI,0,335
Shipment,MOTHERHUB_STV-MOTHERHUB_KOL,21.0895987,72.900005,22.708183,88.28565,MOTHERHUB_STV,MOTHERHUB_KOL,0,3242
Shipment,MOTHERHUB_STV-MOTHERHUB_MED,21.0895987,72.900005,17.580519,78.469527,MOTHERHUB_STV,MOTHERHUB_MED,0,796
Shipment,MOTHERHUB_STV-MOTHERHUB_PTI,21.0895987,72.900005,28.294166,76.855804,MOTHERHUB_STV,MOTHERHUB_PTI,0,2996
