Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_start_time,Delivery_end_time,time,hour,t,Load
Shipment,MotherHub_AMD_MotherHub_BIL_11,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,39600,169,86400,129600,17.75058603,11,0.204,826
Shipment,MotherHub_AMD_MotherHub_BIL_15,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,54000,179,86400,129600,17.75058603,15,0.216,826
Shipment,MotherHub_AMD_MotherHub_BIL_19,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,68400,200,86400,129600,17.75058603,19,0.242,826
Shipment,MotherHub_AMD_MotherHub_BIL_23,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,82800,209,86400,129600,17.75058603,23,0.253,826
Shipment,MotherHub_AMD_MotherHub_STV_3,22.8978044,72.5902141,21.0895987,72.900005,MotherHub_AMD,MotherHub_STV,10800,3,86400,122400,8.821979815,3,0.051,41
Shipment,MotherHub_AMD_MotherHub_STV_7,22.8978044,72.5902141,21.0895987,72.900005,MotherHub_AMD,MotherHub_STV,25200,2,86400,122400,8.821979815,7,0.034,41
Shipment,MotherHub_AMD_MotherHub_STV_11,22.8978044,72.5902141,21.0895987,72.900005,MotherHub_AMD,MotherHub_STV,39600,9,86400,122400,8.821979815,11,0.204,41
Shipment,MotherHub_AMD_MotherHub_STV_15,22.8978044,72.5902141,21.0895987,72.900005,MotherHub_AMD,MotherHub_STV,54000,9,86400,122400,8.821979815,15,0.216,41
Shipment,MotherHub_AMD_MotherHub_STV_19,22.8978044,72.5902141,21.0895987,72.900005,MotherHub_AMD,MotherHub_STV,68400,10,86400,122400,8.821979815,19,0.242,41
Shipment,MotherHub_AMD_MotherHub_STV_23,22.8978044,72.5902141,21.0895987,72.900005,MotherHub_AMD,MotherHub_STV,82800,11,86400,122400,8.821979815,23,0.253,41
Shipment,MotherHub_AMD_mundrahub_mud_3,22.8978044,72.5902141,22.8422969,69.7320994,MotherHub_AMD,mundrahub_mud,10800,13,117000,129600,12.69168322,3,0.051,242
Shipment,MotherHub_AMD_mundrahub_mud_7,22.8978044,72.5902141,22.8422969,69.7320994,MotherHub_AMD,mundrahub_mud,25200,9,117000,129600,12.69168322,7,0.034,242
Shipment,MotherHub_AMD_mundrahub_mud_11,22.8978044,72.5902141,22.8422969,69.7320994,MotherHub_AMD,mundrahub_mud,39600,50,117000,129600,12.69168322,11,0.204,242
Shipment,MotherHub_AMD_mundrahub_mud_15,22.8978044,72.5902141,22.8422969,69.7320994,MotherHub_AMD,mundrahub_mud,54000,53,117000,129600,12.69168322,15,0.216,242
Shipment,MotherHub_AMD_mundrahub_mud_19,22.8978044,72.5902141,22.8422969,69.7320994,MotherHub_AMD,mundrahub_mud,68400,59,117000,129600,12.69168322,19,0.242,242
Shipment,MotherHub_AMD_mundrahub_mud_23,22.8978044,72.5902141,22.8422969,69.7320994,MotherHub_AMD,mundrahub_mud,82800,62,117000,129600,12.69168322,23,0.253,242
Shipment,MotherHub_AMD_palanpurhub_pln_3,22.8978044,72.5902141,24.1743804,72.4089852,MotherHub_AMD,palanpurhub_pln,10800,14,118800,122400,6.202992014,3,0.051,269
Shipment,MotherHub_AMD_palanpurhub_pln_7,22.8978044,72.5902141,24.1743804,72.4089852,MotherHub_AMD,palanpurhub_pln,25200,10,118800,122400,6.202992014,7,0.034,269
Shipment,MotherHub_AMD_palanpurhub_pln_11,22.8978044,72.5902141,24.1743804,72.4089852,MotherHub_AMD,palanpurhub_pln,39600,55,118800,122400,6.202992014,11,0.204,269
Shipment,MotherHub_AMD_palanpurhub_pln_15,22.8978044,72.5902141,24.1743804,72.4089852,MotherHub_AMD,palanpurhub_pln,54000,59,118800,122400,6.202992014,15,0.216,269
Shipment,MotherHub_AMD_palanpurhub_pln_19,22.8978044,72.5902141,24.1743804,72.4089852,MotherHub_AMD,palanpurhub_pln,68400,66,118800,122400,6.202992014,19,0.242,269
Shipment,MotherHub_AMD_palanpurhub_pln_23,22.8978044,72.5902141,24.1743804,72.4089852,MotherHub_AMD,palanpurhub_pln,82800,69,118800,122400,6.202992014,23,0.253,269
Shipment,MotherHub_AMD_porbandarhub_por_3,22.8978044,72.5902141,21.6468447,69.6345955,MotherHub_AMD,porbandarhub_por,10800,11,118800,129600,14.49146049,3,0.051,198
Shipment,MotherHub_AMD_porbandarhub_por_7,22.8978044,72.5902141,21.6468447,69.6345955,MotherHub_AMD,porbandarhub_por,25200,7,118800,129600,14.49146049,7,0.034,198
Shipment,MotherHub_AMD_porbandarhub_por_11,22.8978044,72.5902141,21.6468447,69.6345955,MotherHub_AMD,porbandarhub_por,39600,41,118800,129600,14.49146049,11,0.204,198
Shipment,MotherHub_AMD_porbandarhub_por_15,22.8978044,72.5902141,21.6468447,69.6345955,MotherHub_AMD,porbandarhub_por,54000,43,118800,129600,14.49146049,15,0.216,198
Shipment,MotherHub_AMD_porbandarhub_por_19,22.8978044,72.5902141,21.6468447,69.6345955,MotherHub_AMD,porbandarhub_por,68400,48,118800,129600,14.49146049,19,0.242,198
Shipment,MotherHub_AMD_porbandarhub_por_23,22.8978044,72.5902141,21.6468447,69.6345955,MotherHub_AMD,porbandarhub_por,82800,51,118800,129600,14.49146049,23,0.253,198
Shipment,MotherHub_AMD_surendranagarhub_sdr_3,22.8978044,72.5902141,22.7196472,71.6608486,MotherHub_AMD,surendranagarhub_sdr,10800,11,95400,122400,4.216235897,3,0.051,211
Shipment,MotherHub_AMD_surendranagarhub_sdr_7,22.8978044,72.5902141,22.7196472,71.6608486,MotherHub_AMD,surendranagarhub_sdr,25200,8,95400,122400,4.216235897,7,0.034,211
