Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load,SLA
Shipment,MotherHub_ABL-MotherHub_LKO,30.396612,76.8116,26.755912,80.910939,MotherHub_ABL,MotherHub_LKO,0,20,119071
Shipment,MotherHub_ABL-MotherHub_MED,30.396612,76.8116,17.580519,78.469527,MotherHub_ABL,MotherHub_MED,0,74,228440
Shipment,MotherHub_ABL-MotherHub_MUM,30.396612,76.8116,19.1170238,72.8580558,MotherHub_ABL,MotherHub_MUM,0,32,205855
Shipment,MotherHub_ABL-MotherHub_PAT,30.396612,76.8116,25.587197,85.185842,MotherHub_ABL,MotherHub_PAT,0,31,217618
Shipment,MotherHub_ABL-MotherHub_PTI,30.396612,76.8116,28.294166,76.855804,MotherHub_ABL,MotherHub_PTI,0,129,157357
Shipment,MotherHub_ABL-MotherHub_PUNE,30.396612,76.8116,18.6087917,73.7268817,MotherHub_ABL,MotherHub_PUNE,0,51,227770
Shipment,MotherHub_ABL-MotherHub_RAI,30.396612,76.8116,22.056106,82.171855,MotherHub_ABL,MotherHub_RAI,0,10,226939
Shipment,MotherHub_ABL-MotherHub_STV,30.396612,76.8116,21.0895987,72.900005,MotherHub_ABL,MotherHub_STV,0,7,222269
Shipment,MotherHub_AMD-CochinTCHub_KAM,22.8978044,72.5902141,10.0435449,76.3367287,MotherHub_AMD,CochinTCHub_KAM,0,45,151426
Shipment,MotherHub_AMD-MotherHub_AMD,22.8978044,72.5902141,22.8978044,72.5902141,MotherHub_AMD,MotherHub_AMD,0,63,48137
Shipment,MotherHub_AMD-MotherHub_BBI,22.8978044,72.5902141,20.295471,85.84707,MotherHub_AMD,MotherHub_BBI,0,31,160465
Shipment,MotherHub_AMD-MotherHub_BIL,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,0,58,96264
Shipment,MotherHub_AMD-MotherHub_BLR,22.8978044,72.5902141,12.9842798,77.8242648,MotherHub_AMD,MotherHub_BLR,0,192,134624
Shipment,MotherHub_AMD-MotherHub_BNO,22.8978044,72.5902141,28.544563,77.031259,MotherHub_AMD,MotherHub_BNO,0,78,99581
Shipment,MotherHub_AMD-MotherHub_CHN,22.8978044,72.5902141,13.04591,80.067723,MotherHub_AMD,MotherHub_CHN,0,45,110396
Shipment,MotherHub_AMD-MotherHub_CJB,22.8978044,72.5902141,11.0633423,77.0910944,MotherHub_AMD,MotherHub_CJB,0,16,157588
Shipment,MotherHub_AMD-MotherHub_GAU,22.8978044,72.5902141,26.043197,91.705232,MotherHub_AMD,MotherHub_GAU,0,47,229679
Shipment,MotherHub_AMD-MotherHub_GOA,22.8978044,72.5902141,15.3682554,73.946764,MotherHub_AMD,MotherHub_GOA,0,22,130731
Shipment,MotherHub_AMD-MotherHub_IDR,22.8978044,72.5902141,22.777113,75.9021171,MotherHub_AMD,MotherHub_IDR,0,18,154806
Shipment,MotherHub_AMD-MotherHub_IXR,22.8978044,72.5902141,23.352715,85.343538,MotherHub_AMD,MotherHub_IXR,0,18,186048
Shipment,MotherHub_AMD-MotherHub_JAI,22.8978044,72.5902141,26.948928,75.761927,MotherHub_AMD,MotherHub_JAI,0,26,138318
Shipment,MotherHub_AMD-MotherHub_KOL,22.8978044,72.5902141,22.708183,88.28565,MotherHub_AMD,MotherHub_KOL,0,107,171090
Shipment,MotherHub_AMD-MotherHub_LKO,22.8978044,72.5902141,26.755912,80.910939,MotherHub_AMD,MotherHub_LKO,0,15,121136
Shipment,MotherHub_AMD-MotherHub_MED,22.8978044,72.5902141,17.580519,78.469527,MotherHub_AMD,MotherHub_MED,0,83,150680
Shipment,MotherHub_AMD-MotherHub_MUM,22.8978044,72.5902141,19.1170238,72.8580558,MotherHub_AMD,MotherHub_MUM,0,56,98827
Shipment,MotherHub_AMD-MotherHub_PAT,22.8978044,72.5902141,25.587197,85.185842,MotherHub_AMD,MotherHub_PAT,0,35,185357
Shipment,MotherHub_AMD-MotherHub_PTI,22.8978044,72.5902141,28.294166,76.855804,MotherHub_AMD,MotherHub_PTI,0,99,159197
Shipment,MotherHub_AMD-MotherHub_PUNE,22.8978044,72.5902141,18.6087917,73.7268817,MotherHub_AMD,MotherHub_PUNE,0,93,104003
Shipment,MotherHub_AMD-MotherHub_RAI,22.8978044,72.5902141,22.056106,82.171855,MotherHub_AMD,MotherHub_RAI,0,11,209411
