Type,key_new,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load
Shipment,MOTHERHUB_BLR-RTNAGARMPHUB_BLR,12.9842798,77.8242648,13.0199542,77.6080509,MOTHERHUB_BLR,RTNAGARMPHUB_BLR,72000,25
Shipment,MOTHERHUB_BLR-YASHWANTPURAHUB_BLR,12.9842798,77.8242648,13.014838,77.53893,MOTHERHUB_BLR,YASHWANTPURAHUB_BLR,72000,1138
Shipment,MOTHERHUB_BLR-YELAHANKAHUB_BLR,12.9842798,77.8242648,13.0928856,77.5879555,MOTHERHUB_BLR,YELAHANKAHUB_BLR,72000,1238
Shipment,MOTHERHUB_BLR-YELAHANKAMPHUB_BLR,12.9842798,77.8242648,13.0928856,77.5879555,MOTHERHUB_BLR,YELAHANKAMPHUB_BLR,72000,25
Shipment,MOTHERHUB_CHN-AMIJIKARAIHUB_CHN,13.04591,80.067723,13.047895,80.254899,MOTHERHUB_CHN,AMIJIKARAIHUB_CHN,72000,1670
Shipment,MOTHERHUB_CHN-AMIJIKARAIMPHUB_CHN,13.04591,80.067723,13.047895,80.254899,MOTHERHUB_CHN,AMIJIKARAIMPHUB_CHN,72000,25
Shipment,MOTHERHUB_CHN-GUINDYHUB_MAA,13.04591,80.067723,13.033483,80.161173,MOTHERHUB_CHN,GUINDYHUB_MAA,72000,1760
Shipment,MOTHERHUB_CHN-KEELKATTALAIHUB_CHN,13.04591,80.067723,12.949957,80.186198,MOTHERHUB_CHN,KEELKATTALAIHUB_CHN,72000,1008
Shipment,MOTHERHUB_CHN-KILPAUKHUB_CHN,13.04591,80.067723,13.0880246,80.2507325,MOTHERHUB_CHN,KILPAUKHUB_CHN,72000,895
Shipment,MOTHERHUB_CHN-KILPAUKMPHUB_CHN,13.04591,80.067723,13.0880246,80.2507325,MOTHERHUB_CHN,KILPAUKMPHUB_CHN,72000,36
Shipment,MOTHERHUB_CHN-MMNAGARHUB_CHN,13.04591,80.067723,12.783976,80.0332646,MOTHERHUB_CHN,MMNAGARHUB_CHN,72000,723
Shipment,MOTHERHUB_CHN-PADIHUB_CHN,13.04591,80.067723,13.1047808,80.1741232,MOTHERHUB_CHN,PADIHUB_CHN,72000,1805
Shipment,MOTHERHUB_CHN-PALLAVAKAMHUB_CHN,13.04591,80.067723,12.971561,80.246737,MOTHERHUB_CHN,PALLAVAKAMHUB_CHN,72000,1130
Shipment,MOTHERHUB_CHN-PERAMBURHUB_CHN,13.04591,80.067723,13.141439,80.226677,MOTHERHUB_CHN,PERAMBURHUB_CHN,72000,1367
Shipment,MOTHERHUB_CHN-PURASAVAKKAMMPHUB_CHN,13.04591,80.067723,13.0897,80.2541,MOTHERHUB_CHN,PURASAVAKKAMMPHUB_CHN,72000,196
Shipment,MOTHERHUB_CHN-SHOLLINGANALLURHUB_CHN,13.04591,80.067723,12.8760578,80.2287766,MOTHERHUB_CHN,SHOLLINGANALLURHUB_CHN,72000,1523
Shipment,MOTHERHUB_CHN-SRIPERUMBUDURHUB_CHN,13.04591,80.067723,12.9731928,79.9546946,MOTHERHUB_CHN,SRIPERUMBUDURHUB_CHN,72000,342
Shipment,MOTHERHUB_CHN-TAMBARAMHUB_MAA,13.04591,80.067723,12.913303,80.082998,MOTHERHUB_CHN,TAMBARAMHUB_MAA,72000,821
Shipment,MOTHERHUB_CHN-VALASARAVAKKAMMPHUB_CHN,13.04591,80.067723,13.0485,80.1775,MOTHERHUB_CHN,VALASARAVAKKAMMPHUB_CHN,72000,103
Shipment,MOTHERHUB_CJB-AVINASHIRDHUB_CJB,11.0633423,77.0910944,11.019186,76.978493,MOTHERHUB_CJB,AVINASHIRDHUB_CJB,72000,868
