Facility,DH name,Cutoff,Time ,Geocoding       DH City,Geocoding LZN Classification,Metro/ ROI/    NE-J&K,REGULAR SLA,SLOW SLA,REGULAR LPHT,LPHT,Transit Time,Reach Time,Reach Time,Start Time,Reach New,Connection Time ,Connection,Difference,Difference hrs,New Difference,Comments,New LPHT
fkl-Pataudi,AmbalaHub_UMB,MotherHub_ABL,09:45:00 PM,Ambala,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:45:00 PM,0.91,0.26,6.25,5.25,Okay,No change
fkl-Pataudi,PanchkulaHub_PKL,PanchkulaHub_PKL,08:30:00 PM,Panchkula,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-Pataudi,ChandigarhHub_DEL,ChandigarhHub_DEL,08:30:00 PM,Chandigarh,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-Pataudi,KaithalHub_KTL,KaithalHub_KTL,09:00:00 PM,Kaithal,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-Pataudi,KurukshetraHub_KUR,KurukshetraHub_KUR,09:00:00 PM,Kurukshetra,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-Pataudi,PatialaHub_PTA,PatialaHub_PTA,10:00:00 PM,Patiala,Z,,1,1,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-Pataudi,GobindgarhHub_LUH,GobindgarhHub_LUH,10:00:00 PM,Patiala,Z,,1,1,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-Pataudi,LudhianaHub_LUH,LudhianaHub_LUH,10:00:00 PM,Ludhiana,Z,,1,1,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-Pataudi,JalandharHub_JLR,JalandharHub_JLR,08:30:00 PM,Jalandhar,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-Pataudi,PhagwaraHub_PGR,PhagwaraHub_PGR,10:00:00 PM,PHAGWARA,Z,,1,1,03:30:00 PM,0.65,1.5,0.71,05:02:24 PM,07:02:24 PM,0.71,10:00:00 PM,0.92,0.21,5,4,Okay,No change
fkl-Pataudi,MeerutHub_MEE,MeerutHub_MEE,09:00:00 PM,Meerut,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-Pataudi,GreaterNoidaHub_DEL,MotherHub_BAM,10:00:00 AM,Noida,Z,,1,1,07:30:00 PM,0.81,1.5,0.88,09:07:12 PM,11:07:12 PM,0.88,10:00:00 AM,0.42,0.54,13,12,Improve,Lpht at 8p.m
fkl-Pataudi,AligarhHub_ALG,AligarhHub_ALG,10:30:00 PM,Aligarh,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:30:00 PM,0.94,0.35,8.5,7.5,Improve,Lpht at 8p.m
fkl-Pataudi,BareillyHub_BRY,BareillyHub_BRY,09:00:00 PM,Bareilly,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-Pataudi,MoradabadHub_MRD,MoradabadHub_MRD,09:00:00 PM,Moradabad,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-Pataudi,MuzaffarnagarHub_MFN,MuzaffarnagarHub_MFN,09:00:00 PM,Muzaffarnagar,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
